row_label_raw,row_label_full,Bên liên quan,Số cuối năm (VND),Ngày đáo hạn,Lãi vay (%/năm),Tài sản đảm bảo,numeric__Số cuối năm (VND),numeric__Ngày đáo hạn,numeric__Lãi vay (%/năm),numeric__Tài sản đảm bảo
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Công ty Cổ phần Kum-ba,Vay ngắn hạn > Công ty Cổ phần Kum-ba,Công ty Cổ phần Kum-ba,8.500.000.000,Ngày 17 tháng 1 năm 2025,"6,5%",Tín chấp,8500000000.0,,0.065,
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,8.500.000.000,,,,8500000000.0,,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầngKhu công nghệ cao Sài Gòn,Vay dài hạn > Công ty Cổ phần Đầu tư và Phát triển Hạ tầngKhu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển Hạ tầngKhu công nghệ cao Sài Gòn,30.000.000.000,Ngày 31 tháng 12 năm 2029,"0,01%",Tín chấp,30000000000.0,,0.0001,
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,30.000.000.000,,,,30000000000.0,,,
Các khoản vay từ các bên liên quan tại ngày 31 tháng 12 năm 2023:,Các khoản vay từ các bên liên quan tại ngày 31 tháng 12 năm 2023:,Các khoản vay từ các bên liên quan tại ngày 31 tháng 12 năm 2023:,Các khoản vay từ các bên liên quan tại ngày 31 tháng 12 năm 2023:,Các khoản vay từ các bên liên quan tại ngày 31 tháng 12 năm 2023:,Các khoản vay từ các bên liên quan tại ngày 31 tháng 12 năm 2023:,Các khoản vay từ các bên liên quan tại ngày 31 tháng 12 năm 2023:,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầngKhu công nghệ cao Sài Gòn,Vay ngắn hạn > Công ty Cổ phần Đầu tư và Phát triển Hạ tầngKhu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển Hạ tầngKhu công nghệ cao Sài Gòn,30.000.000.000,Ngày 31 tháng 12 năm 2024,"0,01%",Tín chấp,30000000000.0,,0.0001,
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,30.000.000.000,,,,30000000000.0,,,
