row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Đơn vị tính: VND,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Đơn vị tính: VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,352.198.399.122,289.296.876.698,(438.086.980.204),203.408.295.616,352198399122.0,289296876698.0,-438086980204.0,203408295616.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,6.323.141.197,20.264.376.422,(25.638.956.315),948.561.304,6323141197.0,20264376422.0,-25638956315.0,948561304.0
Thuế khác,Phải nộp > Thuế khác,Thuế khác,6.128.024.443,61.374.803.531,(61.628.660.889),5.874.167.085,6128024443.0,61374803531.0,-61628660889.0,5874167085.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,364.649.564.762,370.936.056.651,(525.354.597.408),210.231.024.005,364649564762.0,370936056651.0,-525354597408.0,210231024005.0
,,,Số đầu năm,Số phải thu trong năm,Số đã cán trừ trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,69.393.481.455,15.318.355.728,(4.234.597.177),80.477.240.006,69393481455.0,15318355728.0,-4234597177.0,80477240006.0
Thuế khác,Phải thu > Thuế khác,Thuế khác,1.449.594.958,2.057.940,-,1.451.652.898,1449594958.0,2057940.0,,1451652898.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,70.843.076.413,15.320.413.668,(4.234.597.177),81.928.892.904,70843076413.0,15320413668.0,-4234597177.0,81928892904.0
