row_label_raw,row_label_full,Bên liên quan,Số cuối năm (VND),Ngày đáo hạn,Lãi vay (%/năm),Tài sản đảm bảo,numeric__Số cuối năm (VND),numeric__Ngày đáo hạn,numeric__Lãi vay (%/năm),numeric__Tài sản đảm bảo
Cho vay ngắn hạn,Cho vay ngắn hạn,Cho vay ngắn hạn,Cho vay ngắn hạn,Cho vay ngắn hạn,Cho vay ngắn hạn,Cho vay ngắn hạn,,,,
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Cho vay ngắn hạn > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,631.258.758.390,Tháng 1 đến tháng 11 năm 2025,1-11%,(*),631258758390.0,,,
Công ty TNHH Saigontel Long An,Cho vay ngắn hạn > Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,50.000.000.000,Tháng 12 năm 2025,5%,(*),50000000000.0,,0.05,
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội,Cho vay ngắn hạn > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội,461.450.000.000,Tháng 11 đến tháng 12 năm 2025,5-8%,(*),461450000000.0,,,
Ông Nguyễn Hoàng Kỳ Lân,Cho vay ngắn hạn > Ông Nguyễn Hoàng Kỳ Lân,Ông Nguyễn Hoàng Kỳ Lân,232.460.000.000,Tháng 4 năm 2025,3%,(**),232460000000.0,,0.03,
Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng,Cho vay ngắn hạn > Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng,205.521.929.893,Tháng 4 đến tháng 12 năm 2025,6-12%,(*),205521929893.0,,,
Công ty Cổ phần Đầu tư Bất động sản Saigontel,Cho vay ngắn hạn > Công ty Cổ phần Đầu tư Bất động sản Saigontel,Công ty Cổ phần Đầu tư Bất động sản Saigontel,81.725.952.708,Tháng 1 đến tháng 3 năm 2025,1 – 10%,(*),81725952708.0,,,
Công ty Cổ phần Đầu tư Vũng Tàu,Cho vay ngắn hạn > Công ty Cổ phần Đầu tư Vũng Tàu,Công ty Cổ phần Đầu tư Vũng Tàu,45.250.000.000,Tháng 11 năm 2025,5%,(*),45250000000.0,,0.05,
Công ty Cổ phần Đầu tư Khu Công nghiệp Lê Minh Xuân 2,Cho vay ngắn hạn > Công ty Cổ phần Đầu tư Khu Công nghiệp Lê Minh Xuân 2,Công ty Cổ phần Đầu tư Khu Công nghiệp Lê Minh Xuân 2,1.700.000.000,Tháng 5 năm 2025,10%,(*),1700000000.0,,0.1,
TỔNG CỘNG,Cho vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.709.366.640.991,,,,1709366640991.0,,,
