row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1)
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Phải thu ngắn hạn,-,198.399.400,,,198399400.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Phải thu ngắn hạn,6.232.210.000,-,,6232210000.0,
,,,,6.232.210.000,198.399.400,,6232210000.0,198399400.0
Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),,,
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Ứng trước phí dịch vụ,-,1.268.995.600,,,1268995600.0
Công ty Cổ phần Đầu tư Bất động sản Saigontel,Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > Công ty Cổ phần Đầu tư Bất động sản Saigontel,Công ty Cổ phần Đầu tư Bất động sản Saigontel,Ứng trước phí dịch vụ,40.386.600.000,-,,40386600000.0,
,,,,40.386.600.000,1.268.995.600,,40386600000.0,1268995600.0
Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),,,
Ông Vũ Thanh Dương,Phải thu ngắn hạn khác (Thuyết minh số 9) > Ông Vũ Thanh Dương,Ông Vũ Thanh Dương,Tạm ứng,313.946.312.404,541.760.677.500,,313946312404.0,541760677500.0
Công ty TNHH Một thành viên Đầu tư Đà Nẵng – Long An,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty TNHH Một thành viên Đầu tư Đà Nẵng – Long An,Công ty TNHH Một thành viên Đầu tư Đà Nẵng – Long An,Phải thu về hợp tác kinh doanh,123.747.835.616,-,,123747835616.0,
Ông Mai Tuấn Dũng,Phải thu ngắn hạn khác (Thuyết minh số 9) > Ông Mai Tuấn Dũng,Ông Mai Tuấn Dũng,Tạm ứng,117.517.177.610,109.571.490.155,,117517177610.0,109571490155.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Lãi vay phải thu,28.644.471.970,63.688.204.329,,28644471970.0,63688204329.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Phải thu về hợp tác kinh doanh,21.874.460.071,41.711.068.493,,21874460071.0,41711068493.0
Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Lãi vay phải thu,27.364.582.192,20.024.767.120,,27364582192.0,20024767120.0
Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Phải thu về hợp tác kinh doanh,14.732.000.000,14.732.000.000,,14732000000.0,14732000000.0
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Lãi vay phải thu,47.889.299.227,11.723.345.364,,47889299227.0,11723345364.0
Các bên liên quan khác,Phải thu ngắn hạn khác (Thuyết minh số 9) > Các bên liên quan khác,Các bên liên quan khác,Phải thu khác,38.604.673.880,15.706.574.033,,38604673880.0,15706574033.0
,,,,734.320.812.970,818.918.126.994,,734320812970.0,818918126994.0
Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),,,
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Phải thu dài hạn khác (Thuyết minh số 9) > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Lãi vay phải thu,63.713.424.657,39.041.095.890,,63713424657.0,39041095890.0
