row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,722.526.717.522,2.891.159.811.471,722526717522.0,2891159811471.0
Thuế TNDN tính theo thuế suất 20%,Thuế TNDN tính theo thuế suất 20%,Thuế TNDN tính theo thuế suất 20%,144.505.343.504,578.231.962.294,144505343504.0,578231962294.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,
Chi phí không được khấu trừ thuế,Các khoản điều chỉnh: > Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,75.971.715.050,36.450.430.340,75971715050.0,36450430340.0
Lãi vay vượt mức quy định theo Nghị định số 132/2020/NĐ-CP,Các khoản điều chỉnh: > Lãi vay vượt mức quy định theo Nghị định số 132/2020/NĐ-CP,Lãi vay vượt mức quy định theo Nghị định số 132/2020/NĐ-CP,69.594.735.667,61.751.053.307,69594735667.0,61751053307.0
Tài sản thuế thu nhập hoãn lại chưa ghi nhận liên quan đến khoản lỗ thuế,Các khoản điều chỉnh: > Tài sản thuế thu nhập hoãn lại chưa ghi nhận liên quan đến khoản lỗ thuế,Tài sản thuế thu nhập hoãn lại chưa ghi nhận liên quan đến khoản lỗ thuế,2.006.639.785,319.297.580,2006639785.0,319297580.0
Lỗ các năm trước chuyển sang,Các khoản điều chỉnh: > Lỗ các năm trước chuyển sang,Lỗ các năm trước chuyển sang,(93.691.780.874),(20.575.095.525),-93691780874.0,-20575095525.0
Lãi vay không được trừ các năm trước chuyển sang kỳ này,Các khoản điều chỉnh: > Lãi vay không được trừ các năm trước chuyển sang kỳ này,Lãi vay không được trừ các năm trước chuyển sang kỳ này,-,(54.358.577.220),,-54358577220.0
Điều chỉnh lãi/lỗ phát sinh trên báo cáo tài chính hợp nhất,Các khoản điều chỉnh: > Điều chỉnh lãi/lỗ phát sinh trên báo cáo tài chính hợp nhất,Điều chỉnh lãi/lỗ phát sinh trên báo cáo tài chính hợp nhất,51.247.427.478,29.377.536.740,51247427478.0,29377536740.0
Điều chỉnh do chênh lệch thuế suất công ty con,Các khoản điều chỉnh: > Điều chỉnh do chênh lệch thuế suất công ty con,Điều chỉnh do chênh lệch thuế suất công ty con,32.219.618.357,9.663.502.457,32219618357.0,9663502457.0
Điều chỉnh khác,Các khoản điều chỉnh: > Điều chỉnh khác,Điều chỉnh khác,17.639.589.420,5.296.289.168,17639589420.0,5296289168.0
Chi phí thuế TNDN,Các khoản điều chỉnh: > Chi phí thuế TNDN,Chi phí thuế TNDN,299.493.288.387,646.156.399.141,299493288387.0,646156399141.0
