row_label_raw,row_label_full,Tên,Chức vụ,Thu nhập (*),Thu nhập (*)_1,numeric__Chức vụ,numeric__Thu nhập (*),numeric__Thu nhập (*)_1
Tên,Tên,Tên,Chức vụ,Năm nay,Năm trước,,,
Ông Đoàn Nguyên Đức,Tên > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch HĐQT,2.574.084,2.662.428,,2574084.0,2662428.0
Ông Võ Trường Sơn,Tên > Ông Võ Trường Sơn,Ông Võ Trường Sơn,Tổng Giám đốc,2.129.349,2.214.202,,2129349.0,2214202.0
Bà Võ Thị Mỹ Hạnh,Tên > Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Phó Tổng Giám đốc,1.547.330,1.519.645,,1547330.0,1519645.0
Bà Hồ Thị Kim Chi,Tên > Bà Hồ Thị Kim Chi,Bà Hồ Thị Kim Chi,Phó Tổng Giám đốc,1.271.810,1.286.280,,1271810.0,1286280.0
Bà Đỗ Trần Thủy Trang,Tên > Bà Đỗ Trần Thủy Trang,Bà Đỗ Trần Thủy Trang,Trường BKS,766.299,715.560,,766299.0,715560.0
Bà Võ Thị Huyền Lan,Tên > Bà Võ Thị Huyền Lan,Bà Võ Thị Huyền Lan,Thành viên HĐQT,256.500,243.000,,256500.0,243000.0
Ông Phạm Ngọc Châu,Tên > Ông Phạm Ngọc Châu,Ông Phạm Ngọc Châu,Thành viên BKS,277.780,343.077,,277780.0,343077.0
Ông Lê Hồng Phong,Tên > Ông Lê Hồng Phong,Ông Lê Hồng Phong,Thành viên BKS,163.800,97.200,,163800.0,97200.0
Ông Trần Văn Dai,Tên > Ông Trần Văn Dai,Ông Trần Văn Dai,Thành viên độc lập,108.000,-,,108000.0,
Các cá nhân khác,Tên > Các cá nhân khác,Các cá nhân khác,,1.535.698,1.252.708,,1535698.0,1252708.0
TỔNG CỘNG,Tên > TỔNG CỘNG,TỔNG CỘNG,,10.630.650,10.334.100,,10630650.0,10334100.0
