row_label_raw,row_label_full,Số đầu năm > Cộng: Dự phòng trích lập trong năm > Trừ: Xóa số trong năm > Trừ: Hoàn nhập dự phòng trong năm > Số cuối năm,Năm nay > 141.973.642 > 1.735.820 > - > (95.079.879) > 48.629.583,Ngàn VNDNăm trước > 148.514.610 > 119.320.172 > (6.639.117) > (119.222.023) > 141.973.642,numeric__Năm nay > 141.973.642 > 1.735.820 > - > (95.079.879) > 48.629.583,numeric__Ngàn VNDNăm trước > 148.514.610 > 119.320.172 > (6.639.117) > (119.222.023) > 141.973.642
Trong đó:,Trong đó:,Trong đó:,,,,
Ngắn hạn,Trong đó: > Ngắn hạn,Ngắn hạn,48.629.583,98.829.269,48629583.0,98829269.0
Dài hạn,Trong đó: > Dài hạn,Dài hạn,-,43.144.373,,43144373.0
