row_label_raw,row_label_full,col_0,Thương mại và dịch vụ,Nông nghiệp,Loại trừ,Ngàn VND Tổng cộng,numeric__Thương mại và dịch vụ,numeric__Nông nghiệp,numeric__Loại trừ,numeric__Ngàn VND Tổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,,,,
Doanh thu,Doanh thu,Doanh thu,,,,,,,,
Từ khách hàng bên ngoài,Doanh thu > Từ khách hàng bên ngoài,Từ khách hàng bên ngoài,1.217.320.256,3.893.461.631,-,5.110.781.887,1217320256.0,3893461631.0,,5110781887.0
Giữa các bộ phận,Doanh thu > Giữa các bộ phận,Giữa các bộ phận,1.390.034.688,421.281.581,(1.811.316.269),-,1390034688.0,421281581.0,-1811316269.0,
Tổng cộng,Doanh thu > Tổng cộng,Tổng cộng,2.607.354.944,4.314.743.212,(1.811.316.269),5.110.781.887,2607354944.0,4314743212.0,-1811316269.0,5110781887.0
Kết quả của bộ phận,Doanh thu > Kết quả của bộ phận,Kết quả của bộ phận,100.897.651,1.072.503.367,-,1.173.401.018,100897651.0,1072503367.0,,1173401018.0
Chi phí không phân bổ,Doanh thu > Chi phí không phân bổ,Chi phí không phân bổ,,,,1.017.820.343,,,,1017820343.0
"Lỗ trước thuế, thu nhập tài chính","Lỗ trước thuế, thu nhập tài chính","Lỗ trước thuế, thu nhập tài chính",,,,,,,,
và chi phí tài chính,"Lỗ trước thuế, thu nhập tài chính > và chi phí tài chính",và chi phí tài chính,,,,2.191.221.361,,,,2191221361.0
Thu nhập tài chính,"Lỗ trước thuế, thu nhập tài chính > Thu nhập tài chính",Thu nhập tài chính,,,,486.143.713,,,,486143713.0
Chi phí tài chính,"Lỗ trước thuế, thu nhập tài chính > Chi phí tài chính",Chi phí tài chính,,,,(1.649.147.246),,,,-1649147246.0
Lỗ trước thuế,"Lỗ trước thuế, thu nhập tài chính > Lỗ trước thuế",Lỗ trước thuế,,,,1.028.217.828,,,,1028217828.0
Chi phí thuế TNDN hiện hành,"Lỗ trước thuế, thu nhập tài chính > Chi phí thuế TNDN hiện hành",Chi phí thuế TNDN hiện hành,,,,(3.649.540),,,,-3649540.0
Thu nhập thuế TNDN hoãn lại,"Lỗ trước thuế, thu nhập tài chính > Thu nhập thuế TNDN hoãn lại",Thu nhập thuế TNDN hoãn lại,,,,100.106.552,,,,100106552.0
Lợi nhuận sau thuế TNDN trong năm,"Lỗ trước thuế, thu nhập tài chính > Lợi nhuận sau thuế TNDN trong năm",Lợi nhuận sau thuế TNDN trong năm,,,,1.124.674.840,,,,1124674840.0
Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,,,,
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,,,,
Tài sản của bộ phận,Tài sản và nợ phải trả > Tài sản của bộ phận,Tài sản của bộ phận,8.971.635.994,10.754.379.034,-,19.726.015.028,8971635994.0,10754379034.0,,19726015028.0
Tiền,Tài sản và nợ phải trả > Tiền,Tiền,,,,72.372.525,,,,72372525.0
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,19.798.387.553,,,,19798387553.0
Nợ phải trả của bộ phận,Tài sản và nợ phải trả > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,(7.462.073.561),(6.725.563.957),-,(14.187.637.518),-7462073561.0,-6725563957.0,,-14187637518.0
Thuế thu nhập hoãn lại phải trả,Tài sản và nợ phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,-,(416.006.694),-,(416.006.694),,-416006694.0,,-416006694.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,(14.603.644.212),,,,-14603644212.0
