row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Doanh thu gộp,Doanh thu gộp,Doanh thu gộp,5.197.982.826,2.187.415.636,5197982826.0,2187415636.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán trái cây,Trong đó: > Doanh thu bán trái cây,Doanh thu bán trái cây,2.240.989.521,1.092.323.976,2240989521.0,1092323976.0
Doanh thu bán heo,Trong đó: > Doanh thu bán heo,Doanh thu bán heo,1.697.175.093,557.570.467,1697175093.0,557570467.0
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,924.027.581,317.660.813,924027581.0,317660813.0
Doanh thu từ cung cấp dịch vụ,Trong đó: > Doanh thu từ cung cấp dịch vụ,Doanh thu từ cung cấp dịch vụ,295.248.124,217.079.648,295248124.0,217079648.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,40.542.507,2.780.732,40542507.0,2780732.0
Khoản giảm trừ,Trong đó: > Khoản giảm trừ,Khoản giảm trừ,(87.200.939),(89.997.270),-87200939.0,-89997270.0
Giảm giá hàng bán,Trong đó: > Giảm giá hàng bán,Giảm giá hàng bán,(87.200.939),(89.997.270),-87200939.0,-89997270.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,5.110.781.887,2.097.418.366,5110781887.0,2097418366.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán trái cây,Trong đó: > Doanh thu bán trái cây,Doanh thu bán trái cây,2.155.744.031,1.003.599.185,2155744031.0,1003599185.0
Doanh thu bán heo,Trong đó: > Doanh thu bán heo,Doanh thu bán heo,1.697.175.093,557.570.406,1697175093.0,557570406.0
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,924.027.581,317.660.818,924027581.0,317660818.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,293.292.675,215.807.224,293292675.0,215807224.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,40.542.507,2.780.733,40542507.0,2780733.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu thuần với các bên thứ ba,Trong đó: > Doanh thu thuần với các bên thứ ba,Doanh thu thuần với các bên thứ ba,3.839.128.539,1.461.630.719,3839128539.0,1461630719.0
Doanh thu thuần với các bên liên quan(TM số 33),Trong đó: > Doanh thu thuần với các bên liên quan(TM số 33),Doanh thu thuần với các bên liên quan(TM số 33),1.271.653.348,635.787.647,1271653348.0,635787647.0
