row_label_raw,row_label_full,col_0,Số đầu năm,Số tăng trong năm,Số giảm trong năm,Ngàn VND Số cuối năm,numeric__Số đầu năm,numeric__Số tăng trong năm,numeric__Số giảm trong năm,numeric__Ngàn VND Số cuối năm
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,17.611.524,69.683.587,(54.922.759),32.372.352,17611524.0,69683587.0,-54922759.0,32372352.0
Thuế thu nhập doanh nghiệp (TM số 32.1),Phải thu > Thuế thu nhập doanh nghiệp (TM số 32.1),Thuế thu nhập doanh nghiệp (TM số 32.1),7.539,-,-,7.539,7539.0,,,7539.0
Thuế khác,Phải thu > Thuế khác,Thuế khác,3.127.579,114.889,(108.102),3.134.366,3127579.0,114889.0,-108102.0,3134366.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,20.746.642,69.798.476,(55.030.861),35.514.257,20746642.0,69798476.0,-55030861.0,35514257.0
Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,,,,
Thuế thu nhập cá nhân,Phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,3.365.161,17.902.239,(16.745.849),4.521.551,3365161.0,17902239.0,-16745849.0,4521551.0
Thuế giá trị gia tăng,Phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,3.102.325,59.758.250,(59.808.910),3.051.665,3102325.0,59758250.0,-59808910.0,3051665.0
Thuế thu nhập doanh nghiệp (TM số 32.1),Phải trả > Thuế thu nhập doanh nghiệp (TM số 32.1),Thuế thu nhập doanh nghiệp (TM số 32.1),631.518,3.649.540,(3.332.591),948.467,631518.0,3649540.0,-3332591.0,948467.0
Thuế khác,Phải trả > Thuế khác,Thuế khác,56.317,4.205.029,(3.993.208),268.138,56317.0,4205029.0,-3993208.0,268138.0
TỔNG CỘNG,Phải trả > TỔNG CỘNG,TỔNG CỘNG,7.155.321,85.515.058,(83.880.558),8.789.821,7155321.0,85515058.0,-83880558.0,8789821.0
