row_label_raw,row_label_full,Số đầu năm > Cộng: Dự phòng trích lập trong năm > Trừ: Hoàn nhập dự phòng trong năm > Số cuối năm,Năm nay > 1.392.199.669 > 18.131.990 > (1.384.314.211) > 26.017.448,Ngàn VNDNăm trước > 2.305.282.094 > 132.005.492 > (1.045.087.917) > 1.392.199.669,numeric__Năm nay > 1.392.199.669 > 18.131.990 > (1.384.314.211) > 26.017.448,numeric__Ngàn VNDNăm trước > 2.305.282.094 > 132.005.492 > (1.045.087.917) > 1.392.199.669
Trong đó:,Trong đó:,Trong đó:,,,,
Dải hạn,Trong đó: > Dải hạn,Dải hạn,17.526.263,100.526.685,17526263.0,100526685.0
Ngắn hạn,Trong đó: > Ngắn hạn,Ngắn hạn,8.491.185,1.291.672.984,8491185.0,1291672984.0
