row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Công cụ, dụng cụ","Ngắn hạn > Công cụ, dụng cụ","Công cụ, dụng cụ",7.841.439,3.570.321,7841439.0,3570321.0
Chi phí phát triển vườn cây ăn trái,Ngắn hạn > Chi phí phát triển vườn cây ăn trái,Chi phí phát triển vườn cây ăn trái,4.582.698,239.078,4582698.0,239078.0
Chi phí khác,Ngắn hạn > Chi phí khác,Chi phí khác,4.850.840,3.315.242,4850840.0,3315242.0
,,,17.274.977,7.124.641,17274977.0,7124641.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Dự án chăn nuôi,Dài hạn > Dự án chăn nuôi,Dự án chăn nuôi,193.635.580,110.024.320,193635580.0,110024320.0
Chi phí khai hoang,Dài hạn > Chi phí khai hoang,Chi phí khai hoang,112.645.680,124.639.291,112645680.0,124639291.0
Tiền thuê đất,Dài hạn > Tiền thuê đất,Tiền thuê đất,31.559.049,10.473.443,31559049.0,10473443.0
"Công cụ, dụng cụ","Dài hạn > Công cụ, dụng cụ","Công cụ, dụng cụ",28.107.249,22.449.231,28107249.0,22449231.0
Chi phí khác,Dài hạn > Chi phí khác,Chi phí khác,4.161.410,4.313.876,4161410.0,4313876.0
,,,370.108.968,271.900.161,370108968.0,271900161.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,387.383.945,279.024.802,387383945.0,279024802.0
