row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Lãi tiền cho vay,Lãi tiền cho vay,Lãi tiền cho vay,402.606.462,490.847.799,402606462.0,490847799.0
Lãi từ thanh lý các khoản đầu tư (TM số 16.2),Lãi từ thanh lý các khoản đầu tư (TM số 16.2),Lãi từ thanh lý các khoản đầu tư (TM số 16.2),60.049.183,240.752.906,60049183.0,240752906.0
Lãi chênh lệch tỷ giá hối đoái,Lãi chênh lệch tỷ giá hối đoái,Lãi chênh lệch tỷ giá hối đoái,22.078.573,1.736.874,22078573.0,1736874.0
Lãi tiền gửi ngân hàng,Lãi tiền gửi ngân hàng,Lãi tiền gửi ngân hàng,1.310.101,1.488.773,1310101.0,1488773.0
Thu nhập cổ tức,Thu nhập cổ tức,Thu nhập cổ tức,59.973,79.956,59973.0,79956.0
Khác,Khác,Khác,39.421,172.304,39421.0,172304.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,486.143.713,735.078.612,486143713.0,735078612.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu với các bên liên quan (TM số 33),Trong đó: > Doanh thu với các bên liên quan (TM số 33),Doanh thu với các bên liên quan (TM số 33),375.397.894,469.372.866,375397894.0,469372866.0
Doanh thu với các bên thứ ba,Trong đó: > Doanh thu với các bên thứ ba,Doanh thu với các bên thứ ba,110.745.819,265.705.746,110745819.0,265705746.0
