row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Cho các công ty mượn,Ngắn hạn > Cho các công ty mượn,Cho các công ty mượn,731.485.958,489.961.800,731485958.0,489961800.0
Phải thu lãi cho vay,Ngắn hạn > Phải thu lãi cho vay,Phải thu lãi cho vay,398.751.950,256.354.007,398751950.0,256354007.0
Tạm ứng cho nhân viên,Ngắn hạn > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,20.981.914,34.676.282,20981914.0,34676282.0
Phải thu ngắn hạn khác,Ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,4.775.178,4.580.609,4775178.0,4580609.0
,,,1.155.995.000,785.572.698,1155995000.0,785572698.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Phải thu Hợp đồng Hợp tác Kinh doanh (""HĐHTKD"") (*)","Dài hạn > Phải thu Hợp đồng Hợp tác Kinh doanh (""HĐHTKD"") (*)","Phải thu Hợp đồng Hợp tác Kinh doanh (""HĐHTKD"") (*)",545.158.016,440.000.000,545158016.0,440000000.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
"- Công ty Cổ phần Lê Me (""Lê Me"") (*)","Trong đó: > - Công ty Cổ phần Lê Me (""Lê Me"") (*)","- Công ty Cổ phần Lê Me (""Lê Me"") (*)",440.000.000,440.000.000,440000000.0,440000000.0
"- Công ty TNHH MTV PTNN Hoàn Thịnh Attapeu (""Hoàn Thịnh"") (**)","Trong đó: > - Công ty TNHH MTV PTNN Hoàn Thịnh Attapeu (""Hoàn Thịnh"") (**)","- Công ty TNHH MTV PTNN Hoàn Thịnh Attapeu (""Hoàn Thịnh"") (**)",105.158.016,-,105158016.0,
Phải thu lãi cho vay,Trong đó: > Phải thu lãi cho vay,Phải thu lãi cho vay,149.468.394,206.136.867,149468394.0,206136867.0
Phải thu dài hạn khác,Trong đó: > Phải thu dài hạn khác,Phải thu dài hạn khác,7.611.164,3.408.754,7611164.0,3408754.0
,,,702.237.574,649.545.621,702237574.0,649545621.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,1.858.232.574,1.435.118.319,1858232574.0,1435118319.0
Dự phòng phải thu khác khó đòi,Trong đó: > Dự phòng phải thu khác khó đòi,Dự phòng phải thu khác khó đòi,(48.629.583),(141.973.642),-48629583.0,-141973642.0
GIÁ TRỊ THUÀN,Trong đó: > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,1.809.602.991,1.293.144.677,1809602991.0,1293144677.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn các bên liên quan (TM số 33),Trong đó: > Phải thu ngắn hạn các bên liên quan (TM số 33),Phải thu ngắn hạn các bên liên quan (TM số 33),732.872.600,480.605.940,732872600.0,480605940.0
Phải thu dài hạn các bên liên quan (TM số 33),Trong đó: > Phải thu dài hạn các bên liên quan (TM số 33),Phải thu dài hạn các bên liên quan (TM số 33),579.450.774,639.457.496,579450774.0,639457496.0
Phải thu các bên thứ ba,Trong đó: > Phải thu các bên thứ ba,Phải thu các bên thứ ba,545.909.200,315.054.883,545909200.0,315054883.0
