row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Vay dài hạn trái phiếu đến hạn trả trong vòng 1 năm (TM số 23.2),Ngắn hạn > Vay dài hạn trái phiếu đến hạn trả trong vòng 1 năm (TM số 23.2),Vay dài hạn trái phiếu đến hạn trả trong vòng 1 năm (TM số 23.2),2.058.184.544,1.293.017.564,2058184544.0,1293017564.0
Vay ngắn hạn ngân hàng (TM số 23.1),Ngắn hạn > Vay ngắn hạn ngân hàng (TM số 23.1),Vay ngắn hạn ngân hàng (TM số 23.1),1.002.710.388,511.870.419,1002710388.0,511870419.0
Vay dài hạn ngân hàng đến hạn trả trong vòng 1 năm (TM số 23.3),Ngắn hạn > Vay dài hạn ngân hàng đến hạn trả trong vòng 1 năm (TM số 23.3),Vay dài hạn ngân hàng đến hạn trả trong vòng 1 năm (TM số 23.3),901.090.257,704.681.572,901090257.0,704681572.0
Vay ngắn hạn từ công ty (TM số 23.4),Ngắn hạn > Vay ngắn hạn từ công ty (TM số 23.4),Vay ngắn hạn từ công ty (TM số 23.4),38.500.000,-,38500000.0,
,,,4.000.485.189,2.509.569.555,4000485189.0,2509569555.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
Vay dài hạn trái phiếu (TM số 23.2),Dải hạn > Vay dài hạn trái phiếu (TM số 23.2),Vay dài hạn trái phiếu (TM số 23.2),3.681.058.998,5.142.773.631,3681058998.0,5142773631.0
Vay dài hạn ngân hàng (TM số 23.3),Dải hạn > Vay dài hạn ngân hàng (TM số 23.3),Vay dài hạn ngân hàng (TM số 23.3),293.409.297,497.175.885,293409297.0,497175885.0
Vay dài hạn từ công ty và cá nhân (TM số 23.5),Dải hạn > Vay dài hạn từ công ty và cá nhân (TM số 23.5),Vay dài hạn từ công ty và cá nhân (TM số 23.5),190.665.939,136.895.549,190665939.0,136895549.0
,,,4.165.134.234,5.776.845.065,4165134234.0,5776845065.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,8.165.619.423,8.286.414.620,8165619423.0,8286414620.0
