row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,numeric__Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,numeric__Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,numeric__Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,numeric__Khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,numeric__Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu từ khách hàng bên ngoài,Doanh thu > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,1.130.544.964,620.339.519,-,346.533.883,2.097.418.366,1130544964.0,620339519.0,,346533883.0,2097418366.0
Chi phí hình thành tài sản cố định,Doanh thu > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,690.730.524,245.779.318,-,-,936.509.842,690730524.0,245779318.0,,,936509842.0
Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,
Tài sản bộ phận,Các thông tin bộ phận khác > Tài sản bộ phận,Tài sản bộ phận,14.380.934.619,3.980.452.335,-,-,18.361.386.954,14380934619.0,3980452335.0,,,18361386954.0
Tiền,Các thông tin bộ phận khác > Tiền,Tiền,,,,,78.298.037,,,,,78298037.0
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,,,,,,
Tổng tài sản,Đầu tư vào công ty liên kết > Tổng tài sản,Tổng tài sản,,,,,18.439.684.991,,,,,18439684991.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu từ khách hàng bên ngoài,Doanh thu > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,3.584.289.426,677.685.411,-,848.807.050,5.110.781.887,3584289426.0,677685411.0,,848807050.0,5110781887.0
Chi phí hình thành tài sản cố định,Doanh thu > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,287.481.478,314.348.786,-,-,601.830.264,287481478.0,314348786.0,,,601830264.0
Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,
Tài sản bộ phận,Các thông tin bộ phận khác > Tài sản bộ phận,Tài sản bộ phận,16.673.301.935,3.052.713.093,-,-,19.726.015.028,16673301935.0,3052713093.0,,,19726015028.0
Tiền,Các thông tin bộ phận khác > Tiền,Tiền,,,,,72.372.525,,,,,72372525.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,,19.798.387.553,,,,,19798387553.0
