row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Cho vay ngắn hạn bên liên quan (TM số 33) (i),Ngắn hạn > Cho vay ngắn hạn bên liên quan (TM số 33) (i),Cho vay ngắn hạn bên liên quan (TM số 33) (i),3.950.810.312,6.397.342.577,3950810312.0,6397342577.0
Cho vay ngắn hạn các bên khác (ii),Ngắn hạn > Cho vay ngắn hạn các bên khác (ii),Cho vay ngắn hạn các bên khác (ii),66.414.366,118.915.603,66414366.0,118915603.0
,,,4.017.224.678,6.516.258.180,4017224678.0,6516258180.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Cho vay dài hạn bên liên quan (TM số 33) (i),Dài hạn > Cho vay dài hạn bên liên quan (TM số 33) (i),Cho vay dài hạn bên liên quan (TM số 33) (i),1.716.613.450,2.363.749.852,1716613450.0,2363749852.0
Cho vay dài hạn các bên khác,Dài hạn > Cho vay dài hạn các bên khác,Cho vay dài hạn các bên khác,28.807.480,89.088.574,28807480.0,89088574.0
,,,1.745.420.930,2.452.838.426,1745420930.0,2452838426.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,5.762.645.608,8.969.096.606,5762645608.0,8969096606.0
Dự phòng phải thu về cho vay khó đòi,Dài hạn > Dự phòng phải thu về cho vay khó đòi,Dự phòng phải thu về cho vay khó đòi,(26.017.448),(1.392.199.669),-26017448.0,-1392199669.0
GIÁ TRỊ THUÀN,Dài hạn > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,5.736.628.160,7.576.896.937,5736628160.0,7576896937.0
