row_label_raw,row_label_full,Tên ngân hàng,Số tiền(Ngàn VND),Thời hạn thanh toánvà ngày đáo hạn,Lãi suất(%/năm),"Tài sản thế chấp(TM số 10, 11, 12 và 14)",numeric__Số tiền(Ngàn VND),numeric__Thời hạn thanh toánvà ngày đáo hạn,numeric__Lãi suất(%/năm),"numeric__Tài sản thế chấp(TM số 10, 11, 12 và 14)"
Eximbank,Eximbank,Eximbank,Eximbank,Eximbank,Eximbank,Eximbank,,,,
Khoản vay ngày 15tháng 8 năm 2014 (*),Eximbank > Khoản vay ngày 15tháng 8 năm 2014 (*),Khoản vay ngày 15tháng 8 năm 2014 (*),413.840.467,Từ ngày 31 tháng 12năm 2023 đến ngày 31tháng 12năm 2024,"12,40","Quyền sử dụng đất và tài sản gắn liền với đất trên tổng diện tích957 ha (7 bia đồ) thuộc sở hữu của Công ty Cổ phần Chăn NuôiGia Lai;Phương tiện vận tải, máy móc thiết bị và tài sản khác hình thànhtừ vốn vay.",413840467.0,,12.4,
Khoản vay ngày 23tháng 9 năm 2014 (*),Eximbank > Khoản vay ngày 23tháng 9 năm 2014 (*),Khoản vay ngày 23tháng 9 năm 2014 (*),173.949.781,Từ ngày 31 tháng 12năm 2023 đến ngày 31tháng 12năm 2024,"12,40","Quyền sử dụng đất và tài sản gắn liền với đất trên tổng diện tích957 ha (7 bia đồ) thuộc sở hữu của Công ty Cổ phần Chăn NuôiGia Lai;Phương tiện vận tải, máy móc thiết bị và tài sản khác hình thànhtừ vốn vay.",173949781.0,,12.4,
TỔNG CỘNG,Eximbank > TỔNG CỘNG,TỔNG CỘNG,587.790.248,,,,587790248.0,,,
Trong đó:Vay dài hạnđến hạn trả trongvòng 1 nămVay dài hạn,Eximbank > Trong đó:Vay dài hạnđến hạn trả trongvòng 1 nămVay dài hạn,Trong đó:Vay dài hạnđến hạn trả trongvòng 1 nămVay dài hạn,429.490.248158.300.000,,,,4.294902481583e+17,,,
