row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,198.224.977,120.959.970,198224977.0,120959970.0
Chi phí lương nhân viên,Chi phí bán hàng > Chi phí lương nhân viên,Chi phí lương nhân viên,11.651.748,3.475.749,11651748.0,3475749.0
Chi phí khấu hao và hao mòn,Chi phí bán hàng > Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,6.192.236,481.499,6192236.0,481499.0
Chi phí khác,Chi phí bán hàng > Chi phí khác,Chi phí khác,35.869.848,4.369.948,35869848.0,4369948.0
,,,251.938.809,129.287.166,251938809.0,129287166.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí lương nhân viên,Chi phí quản lý doanh nghiệp > Chi phí lương nhân viên,Chi phí lương nhân viên,86.586.923,76.497.818,86586923.0,76497818.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,34.053.198,27.087.248,34053198.0,27087248.0
Chi phí khấu hao,Chi phí quản lý doanh nghiệp > Chi phí khấu hao,Chi phí khấu hao,9.385.574,8.505.956,9385574.0,8505956.0
Phân bổ lợi thế thương mại,Chi phí quản lý doanh nghiệp > Phân bổ lợi thế thương mại,Phân bổ lợi thế thương mại,-,601.696.297,,601696297.0
Hoàn nhập dự phòng,Chi phí quản lý doanh nghiệp > Hoàn nhập dự phòng,Hoàn nhập dự phòng,(1.512.789.999),(891.173.929),-1512789999.0,-891173929.0
Chi phí khác,Chi phí quản lý doanh nghiệp > Chi phí khác,Chi phí khác,32.869.790,3.107.381,32869790.0,3107381.0
,,,(1.349.894.514),(174.279.229),-1349894514.0,-174279229.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,(1.097.955.705),(44.992.063),-1097955705.0,-44992063.0
