row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Ngàn VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất,Ngàn VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Ngàn VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Ngàn VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,,,,
Lợi nhuận nội bộ chưa thực hiện,Tài sản thuế TNDN hoãn lại > Lợi nhuận nội bộ chưa thực hiện,Lợi nhuận nội bộ chưa thực hiện,16.468.661,10.966.646,5.502.015,(74.757.626),16468661.0,10966646.0,5502015.0,-74757626.0
Lợi nhuận nội bộ chưa thực hiện,Tài sản thuế TNDN hoãn lại > Lợi nhuận nội bộ chưa thực hiện,Lợi nhuận nội bộ chưa thực hiện,16.468.661,10.966.646,5.502.015,(74.757.626),16468661.0,10966646.0,5502015.0,-74757626.0
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,,,,
Chênh lệch giá trị hợp lý của tài sản mua trong hợp nhất kinh doanh,Thuế TNDN hoãn lại phải trả > Chênh lệch giá trị hợp lý của tài sản mua trong hợp nhất kinh doanh,Chênh lệch giá trị hợp lý của tài sản mua trong hợp nhất kinh doanh,416.006.694,510.611.231,(94.604.537),(72.749.271),416006694.0,510611231.0,-94604537.0,-72749271.0
Dự phòng các khoản đầu tư,Thuế TNDN hoãn lại phải trả > Dự phòng các khoản đầu tư,Dự phòng các khoản đầu tư,-,-,-,(141.070.733),,,,-141070733.0
Chi phí lãi vay vốn hóa trên khía cạnh hợp nhất,Thuế TNDN hoãn lại phải trả > Chi phí lãi vay vốn hóa trên khía cạnh hợp nhất,Chi phí lãi vay vốn hóa trên khía cạnh hợp nhất,-,-,-,(120.036.134),,,,-120036134.0
Chi phí lãi vay vốn hóa trên khía cạnh hợp nhất,Thuế TNDN hoãn lại phải trả > Chi phí lãi vay vốn hóa trên khía cạnh hợp nhất,Chi phí lãi vay vốn hóa trên khía cạnh hợp nhất,416.006.694,510.611.231,(94.604.537),(333.856.138),416006694.0,510611231.0,-94604537.0,-333856138.0
Thu nhập thuế TNDN hoãn lại,Thuế TNDN hoãn lại phải trả > Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,(100.106.552),(259.098.512),,,-100106552.0,-259098512.0
