row_label_raw,row_label_full,Tổng cộng,111.346.340,numeric__111.346.340
Trong đó:,Trong đó:,Trong đó:,Trong đó:,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,87.109.297,87109297.0
Vay dài hạnđến hạn trả trongvòng 1 năm,Trong đó: > Vay dài hạnđến hạn trả trongvòng 1 năm,Vay dài hạnđến hạn trả trongvòng 1 năm,24.237.043,24237043.0
