row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải trả người bán hàng hóa và dịch vụ,Phải trả người bán hàng hóa và dịch vụ,Phải trả người bán hàng hóa và dịch vụ,525.462.721,317.277.378,525462721.0,317277378.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Công ty Cổ phần Thương mại Đầu tư Phát triển Do Holdings,Trong đó: > - Công ty Cổ phần Thương mại Đầu tư Phát triển Do Holdings,- Công ty Cổ phần Thương mại Đầu tư Phát triển Do Holdings,217.889.882,59.671.882,217889882.0,59671882.0
- Các nhà cung cấp khác,Trong đó: > - Các nhà cung cấp khác,- Các nhà cung cấp khác,307.572.839,257.605.496,307572839.0,257605496.0
Phải trả nhà thầu xây dựng,Trong đó: > Phải trả nhà thầu xây dựng,Phải trả nhà thầu xây dựng,5.791.244,8.728.257,5791244.0,8728257.0
Phải trả người bán máy móc và thiết bị,Trong đó: > Phải trả người bán máy móc và thiết bị,Phải trả người bán máy móc và thiết bị,3.436.935,33.473.380,3436935.0,33473380.0
Phải trả người bán khác,Trong đó: > Phải trả người bán khác,Phải trả người bán khác,428.992,-,428992.0,
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,535.119.892,359.479.015,535119892.0,359479015.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên thứ ba,Trong đó: > Phải trả các bên thứ ba,Phải trả các bên thứ ba,488.034.594,220.748.397,488034594.0,220748397.0
Phải trả các bên liên quan (TM số 33),Trong đó: > Phải trả các bên liên quan (TM số 33),Phải trả các bên liên quan (TM số 33),47.085.298,138.730.618,47085298.0,138730618.0
