row_label_raw,row_label_full,Số đầu năm,Năm nay > 186.549.700,Ngàn VNDNăm trước > 4.949.332.245,numeric__Năm nay > 186.549.700,numeric__Ngàn VNDNăm trước > 4.949.332.245
Nhận vốn góp từ cổ đông không kiểm soát,Nhận vốn góp từ cổ đông không kiểm soát,Nhận vốn góp từ cổ đông không kiểm soát,22.594.000,55.000,22594000.0,55000.0
Giao dịch vốn trong nội bộ Tập đoàn với,Giao dịch vốn trong nội bộ Tập đoàn với,Giao dịch vốn trong nội bộ Tập đoàn với,,,,
cổ đông không kiểm soát của các công ty con,Giao dịch vốn trong nội bộ Tập đoàn với > cổ đông không kiểm soát của các công ty con,cổ đông không kiểm soát của các công ty con,-,514.446.908,,514446908.0
Thanh lý công ty con,Giao dịch vốn trong nội bộ Tập đoàn với > Thanh lý công ty con,Thanh lý công ty con,-,(5.201.860.403),,-5201860403.0
Mua các công ty con,Giao dịch vốn trong nội bộ Tập đoàn với > Mua các công ty con,Mua các công ty con,(4.659.733),-,-4659733.0,
Lỗ trong năm phân bổ cho cổ đông không kiểm soát,Giao dịch vốn trong nội bộ Tập đoàn với > Lỗ trong năm phân bổ cho cổ đông không kiểm soát,Lỗ trong năm phân bổ cho cổ đông không kiểm soát,(4.070.556),(75.424.050),-4070556.0,-75424050.0
Số cuối năm,Giao dịch vốn trong nội bộ Tập đoàn với > Số cuối năm,Số cuối năm,200.413.411,186.549.700,200413411.0,186549700.0
