row_label_raw,row_label_full,Công ty TNHHDịch vụ Nồngnghiệp Tây Nguyên,Công ty liên quan,Mượn tiền,10.415.275,10.415.275_1,numeric__Công ty liên quan,numeric__Mượn tiền,numeric__10.415.275,numeric__10.415.275_1
Công ty Cổ phầnGỗ Hoàng AnhGia Lai,Công ty Cổ phầnGỗ Hoàng AnhGia Lai,Công ty Cổ phầnGỗ Hoàng AnhGia Lai,Công ty liên quan,Khác,39.720,682.739,,,39720.0,682739.0
Ông Trần QuangDũng,Ông Trần QuangDũng,Ông Trần QuangDũng,Phó giám đốccông ty con,Khác,468.697,-,,,468697.0,
Công ty Cổ phầnHoàng AnhMê Kông,Công ty Cổ phầnHoàng AnhMê Kông,Công ty Cổ phầnHoàng AnhMê Kông,Công ty liên quan,Mượn tiền,272.700,272.700,,,272700.0,272700.0
Công ty Cổ phần Giasúc Lơ Pang,Công ty Cổ phần Giasúc Lơ Pang,Công ty Cổ phần Giasúc Lơ Pang,Công ty liên quan (đếngày 31tháng 3 năm2022),Lãi phạt,-,6.739.726,,,,6739726.0
Các bên liên quankhác,Các bên liên quankhác,Các bên liên quankhác,Bên liên quan,Khác,4.932,4.500,,,4932.0,4500.0
,,,,,11.201.324,18.114.940,,,11201324.0,18114940.0
