row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Tổng lợi nhuận/(lỗ) kế toán trước thuế,Tổng lợi nhuận/(lỗ) kế toán trước thuế,Tổng lợi nhuận/(lỗ) kế toán trước thuế,1.028.217.828,(130.606.633),1028217828.0,-130606633.0
Các khoản điều chỉnh tăng/(giảm) lỗ kế toán:,Các khoản điều chỉnh tăng/(giảm) lỗ kế toán:,Các khoản điều chỉnh tăng/(giảm) lỗ kế toán:,Các khoản điều chỉnh tăng/(giảm) lỗ kế toán:,Các khoản điều chỉnh tăng/(giảm) lỗ kế toán:,,
Các khoản lỗ từ các công ty con,Các khoản điều chỉnh tăng/(giảm) lỗ kế toán: > Các khoản lỗ từ các công ty con,Các khoản lỗ từ các công ty con,285.346.875,348.765.383,285346875.0,348765383.0
Mức trần chi phí lãi vay (*),Các khoản điều chỉnh tăng/(giảm) lỗ kế toán: > Mức trần chi phí lãi vay (*),Mức trần chi phí lãi vay (*),162.704.261,121.964.254,162704261.0,121964254.0
Lỗ chưa thực hiện trên hợp nhất,Các khoản điều chỉnh tăng/(giảm) lỗ kế toán: > Lỗ chưa thực hiện trên hợp nhất,Lỗ chưa thực hiện trên hợp nhất,42.644.760,41.935.443,42644760.0,41935443.0
Chi phí lãi vay nội bộ ở khía cạnh hợp nhất,Các khoản điều chỉnh tăng/(giảm) lỗ kế toán: > Chi phí lãi vay nội bộ ở khía cạnh hợp nhất,Chi phí lãi vay nội bộ ở khía cạnh hợp nhất,6.271.689,3.472.151,6271689.0,3472151.0
Chi phí phân bổ lợi thế thương mại,Các khoản điều chỉnh tăng/(giảm) lỗ kế toán: > Chi phí phân bổ lợi thế thương mại,Chi phí phân bổ lợi thế thương mại,-,601.696.297,,601696297.0
Lỗ từ thanh lý các công ty con ở khía cạnh hợp nhất,Các khoản điều chỉnh tăng/(giảm) lỗ kế toán: > Lỗ từ thanh lý các công ty con ở khía cạnh hợp nhất,Lỗ từ thanh lý các công ty con ở khía cạnh hợp nhất,-,222.169.717,,222169717.0
Lỗ từ các công ty liên kết,Các khoản điều chỉnh tăng/(giảm) lỗ kế toán: > Lỗ từ các công ty liên kết,Lỗ từ các công ty liên kết,-,5.819.760,,5819760.0
Lợi nhuận từ hoạt động miễn thuế,Các khoản điều chỉnh tăng/(giảm) lỗ kế toán: > Lợi nhuận từ hoạt động miễn thuế,Lợi nhuận từ hoạt động miễn thuế,(491.362.458),(316.221.485),-491362458.0,-316221485.0
Cán trừ lỗ năm trước,Các khoản điều chỉnh tăng/(giảm) lỗ kế toán: > Cán trừ lỗ năm trước,Cán trừ lỗ năm trước,(402.108.690),(574.015.223),-402108690.0,-574015223.0
Các khoản khác,Các khoản điều chỉnh tăng/(giảm) lỗ kế toán: > Các khoản khác,Các khoản khác,(598.533.470),(317.076.102),-598533470.0,-317076102.0
Thu nhập chịu thuế ước tính trong năm hiện hành,Các khoản điều chỉnh tăng/(giảm) lỗ kế toán: > Thu nhập chịu thuế ước tính trong năm hiện hành,Thu nhập chịu thuế ước tính trong năm hiện hành,33.180.795,7.903.562,33180795.0,7903562.0
Thuế TNDN ước tính trong năm hiện hành,Các khoản điều chỉnh tăng/(giảm) lỗ kế toán: > Thuế TNDN ước tính trong năm hiện hành,Thuế TNDN ước tính trong năm hiện hành,3.689.636,1.320.285,3689636.0,1320285.0
Điều chỉnh thuế TNDN trích thiếu năm trước,Các khoản điều chỉnh tăng/(giảm) lỗ kế toán: > Điều chỉnh thuế TNDN trích thiếu năm trước,Điều chỉnh thuế TNDN trích thiếu năm trước,1.449.117,-,1449117.0,
Thuế thu nhập doanh nghiệp được giảm,Các khoản điều chỉnh tăng/(giảm) lỗ kế toán: > Thuế thu nhập doanh nghiệp được giảm,Thuế thu nhập doanh nghiệp được giảm,(1.489.213),(434.517),-1489213.0,-434517.0
Chi phí thuế TNDN hiện hành ước tính,Các khoản điều chỉnh tăng/(giảm) lỗ kế toán: > Chi phí thuế TNDN hiện hành ước tính,Chi phí thuế TNDN hiện hành ước tính,3.649.540,885.768,3649540.0,885768.0
Thuế TNDN phải trả đầu năm,Các khoản điều chỉnh tăng/(giảm) lỗ kế toán: > Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,623.979,22.300.049,623979.0,22300049.0
Thanh lý công ty con,Các khoản điều chỉnh tăng/(giảm) lỗ kế toán: > Thanh lý công ty con,Thanh lý công ty con,-,(20.356.074),,-20356074.0
Thuế TNDN đã trả trong năm,Các khoản điều chỉnh tăng/(giảm) lỗ kế toán: > Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,(3.332.591),(2.205.764),-3332591.0,-2205764.0
Thuế TNDN phải trả cuối năm,Các khoản điều chỉnh tăng/(giảm) lỗ kế toán: > Thuế TNDN phải trả cuối năm,Thuế TNDN phải trả cuối năm,940.928,623.979,940928.0,623979.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Thuế TNDN phải trả (TM số 20),Trong đó: > Thuế TNDN phải trả (TM số 20),Thuế TNDN phải trả (TM số 20),948.467,631.518,948467.0,631518.0
Thuế TNDN trả trước (TM số 20),Trong đó: > Thuế TNDN trả trước (TM số 20),Thuế TNDN trả trước (TM số 20),(7.539),(7.539),-7539.0,-7539.0
