row_label_raw,row_label_full,Bên liên quan,Các giao dịch,Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Các giao dịch,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
Các thành viên của Ban lãnh đạo,Các thành viên của Ban lãnh đạo,Các thành viên của Ban lãnh đạo,Thu nhập lãi cho vay,2.217,2.669,,2217.0,2669.0
Các thành viên của Ban lãnh đạo,Các thành viên của Ban lãnh đạo,Các thành viên của Ban lãnh đạo,Chi phí trả lãi tiền gửi,(5.500),(8.372),,-5500.0,-8372.0
Ngân hàng và các công ty con,Ngân hàng và các công ty con,Ngân hàng và các công ty con,Thu nhập từ hoạt động dịch vụ,60,58,,60.0,58.0
Ngân hàng và các công ty con,Ngân hàng và các công ty con,Ngân hàng và các công ty con,Chi phí hoạt động khác,-,(779),,,-779.0
Ngân hàng và các công ty con,Ngân hàng và các công ty con,Ngân hàng và các công ty con,Thù lao sau thuế của thành viên Hội đồng Quản trị,(36.340),(30.271),,-36340.0,-30271.0
Ngân hàng và các công ty con,Ngân hàng và các công ty con,Ngân hàng và các công ty con,Thù lao sau thuế của thành viên Ban Kiểm soát,(14.295),(12.352),,-14295.0,-12352.0
Ngân hàng và các công ty con,Ngân hàng và các công ty con,Ngân hàng và các công ty con,Thu nhập sau thuế của thành viên Ban Tổng Giám đốc,(84.733),(75.172),,-84733.0,-75172.0
Các bên liên quan đến các thành viên của Ban lãnh đạo,Các bên liên quan đến các thành viên của Ban lãnh đạo,Các bên liên quan đến các thành viên của Ban lãnh đạo,Thu nhập lãi tiền gửi/cho vay,3.306,1.861,,3306.0,1861.0
Các bên liên quan đến các thành viên của Ban lãnh đạo,Các bên liên quan đến các thành viên của Ban lãnh đạo,Các bên liên quan đến các thành viên của Ban lãnh đạo,Chi phí trả lãi tiền vay/tiền gửi,(8.308),(6.136),,-8308.0,-6136.0
Các bên liên quan đến các thành viên của Ban lãnh đạo,Các bên liên quan đến các thành viên của Ban lãnh đạo,Các bên liên quan đến các thành viên của Ban lãnh đạo,Thu nhập từ hoạt động dịch vụ,144,190,,144.0,190.0
Ngân hàng và các công ty con,Ngân hàng và các công ty con,Ngân hàng và các công ty con,Thu nhập khác,-,254,,,254.0
Ngân hàng và các công ty con,Ngân hàng và các công ty con,Ngân hàng và các công ty con,Chi phí khác,(3.622),-,,-3622.0,
