row_label_raw,row_label_full,col_0,Trong nướcTriệu đồng,Nước ngoàiTriệu đồng,Tổng cộngTriệu đồng,numeric__Trong nướcTriệu đồng,numeric__Nước ngoàiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản tại ngày 31 tháng 12 năm 2021,Tài sản tại ngày 31 tháng 12 năm 2021,Tài sản tại ngày 31 tháng 12 năm 2021,Tài sản tại ngày 31 tháng 12 năm 2021,Tài sản tại ngày 31 tháng 12 năm 2021,Tài sản tại ngày 31 tháng 12 năm 2021,,,
Tiền gửi tại và cho vay các TCTD khác,Tài sản tại ngày 31 tháng 12 năm 2021 > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,5.553.693,2.799.886,8.353.579,5553693.0,2799886.0,8353579.0
Cho vay khách hàng - gộp,Tài sản tại ngày 31 tháng 12 năm 2021 > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,382.263.612,5.665.984,387.929.596,382263612.0,5665984.0,387929596.0
Hoạt động mua nợ - gộp,Tài sản tại ngày 31 tháng 12 năm 2021 > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,285.967,-,285.967,285967.0,,285967.0
Chứng khoán đầu tư - gộp,Tài sản tại ngày 31 tháng 12 năm 2021 > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,75.680.642,17.792,75.698.434,75680642.0,17792.0,75698434.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản tại ngày 31 tháng 12 năm 2021 > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",97.014,-,97.014,97014.0,,97014.0
Công nợ tại ngày 31 tháng 12 năm 2021,Công nợ tại ngày 31 tháng 12 năm 2021,Công nợ tại ngày 31 tháng 12 năm 2021,Công nợ tại ngày 31 tháng 12 năm 2021,Công nợ tại ngày 31 tháng 12 năm 2021,Công nợ tại ngày 31 tháng 12 năm 2021,,,
Các khoản nợ NHNN Việt Nam,Công nợ tại ngày 31 tháng 12 năm 2021 > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,522.745,-,522.745,522745.0,,522745.0
Tiền gửi và vay các TCTD khác,Công nợ tại ngày 31 tháng 12 năm 2021 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,12.576.469,2.652.630,15.229.099,12576469.0,2652630.0,15229099.0
Tiền gửi của khách hàng,Công nợ tại ngày 31 tháng 12 năm 2021 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,419.137.375,8.249.397,427.386.772,419137375.0,8249397.0,427386772.0
Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Công nợ tại ngày 31 tháng 12 năm 2021 > Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),45.883.573,-,45.883.573,45883573.0,,45883573.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Công nợ tại ngày 31 tháng 12 năm 2021 > Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro",-,278.940,278.940,,278940.0,278940.0
Phát hành giấy tờ có giá,Công nợ tại ngày 31 tháng 12 năm 2021 > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,21.103.779,-,21.103.779,21103779.0,,21103779.0
Cam kết ngoại bảng tại ngày 31 tháng12 năm 2021,Công nợ tại ngày 31 tháng 12 năm 2021 > Cam kết ngoại bảng tại ngày 31 tháng12 năm 2021,Cam kết ngoại bảng tại ngày 31 tháng12 năm 2021,105.542.605,304.430,105.847.035,105542605.0,304430.0,105847035.0
