row_label_raw,row_label_full,Bên liên quan,Các giáo dịch,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,numeric__Các giáo dịch,numeric__Số cuối nămTriệu đồng,numeric__Số đầu nămTriệu đồng
Các thành viêncủa Ban lãnh đạoNgân hàng và cáccống ty con,Các thành viêncủa Ban lãnh đạoNgân hàng và cáccống ty con,Các thành viêncủa Ban lãnh đạoNgân hàng và cáccống ty con,Cho vayNhận tiền gửiChứng chỉ tiền gửiPhải thu khácPhải trả khác,68.720(200.127)(460)53(1.442),71.224(160.801)(460)293(2.417),,,
Các bên liên quandến các thành viêncủa Ban lãnh đạoNgân hàng và cáccống ty con,Các bên liên quandến các thành viêncủa Ban lãnh đạoNgân hàng và cáccống ty con,Các bên liên quandến các thành viêncủa Ban lãnh đạoNgân hàng và cáccống ty con,Cho vayNhận tiền gửiChứng chỉ tiền gửiPhải thu khácPhải trả khác,71.678(185.665)(19.650)1.167(2.844),38.684(227.123)(11.070)247(3.273),,,
