row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Ảnh hưởng đếnBảo cáo kết quả hoạt động kinh doanh hợp nhất,Ảnh hưởng đếnBảo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Ảnh hưởng đếnBảo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Ảnh hưởng đếnBảo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,Năm nayTriệu đồng,Năm trướcTriệu đồng,,,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,,,,,,,,
Dự phòng tài sản Có khác và các khoản đầu tư dài hạn,Tài sản thuế TNDN hoãn lại > Dự phòng tài sản Có khác và các khoản đầu tư dài hạn,Dự phòng tài sản Có khác và các khoản đầu tư dài hạn,346.169,359.697,(13.528),274.396,346169.0,359697.0,-13528.0,274396.0
Lỗ có thể sử dụng đề bù trừ với thu nhập chịu thuế trong tương lai,Tài sản thuế TNDN hoãn lại > Lỗ có thể sử dụng đề bù trừ với thu nhập chịu thuế trong tương lai,Lỗ có thể sử dụng đề bù trừ với thu nhập chịu thuế trong tương lai,36.279,74.678,(38.399),8.146,36279.0,74678.0,-38399.0,8146.0
Chênh lệch tính thuế tạm thời của Công ty con,Tài sản thuế TNDN hoãn lại > Chênh lệch tính thuế tạm thời của Công ty con,Chênh lệch tính thuế tạm thời của Công ty con,8.661,9.130,(469),1.150,8661.0,9130.0,-469.0,1150.0
Chi phí khấu hao,Tài sản thuế TNDN hoãn lại > Chi phí khấu hao,Chi phí khấu hao,13.897,6.949,6.948,6.949,13897.0,6949.0,6948.0,6949.0
,,,405.006,450.454,(45.448),290.641,405006.0,450454.0,-45448.0,290641.0
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,,,,,,,,
Chênh lệch chi phí khấu hao của công ty con,Thuế TNDN hoãn lại phải trả > Chênh lệch chi phí khấu hao của công ty con,Chênh lệch chi phí khấu hao của công ty con,(672),(678),6,3,-672.0,-678.0,6.0,3.0
Chênh lệch tạm thời liên quan dự phòng lỗ công ty con,Thuế TNDN hoãn lại phải trả > Chênh lệch tạm thời liên quan dự phòng lỗ công ty con,Chênh lệch tạm thời liên quan dự phòng lỗ công ty con,(27.746),(24.865),(2.881),(84),-27746.0,-24865.0,-2881.0,-84.0
,,,(28.418),(25.543),(2.875),(81),-28418.0,-25543.0,-2875.0,-81.0
Điều chỉnh năm trước,Thuế TNDN hoãn lại phải trả > Điều chỉnh năm trước,Điều chỉnh năm trước,,,-,9.562,,,,9562.0
Ảnh hưởng quy đổi tỷ giá,Thuế TNDN hoãn lại phải trả > Ảnh hưởng quy đổi tỷ giá,Ảnh hưởng quy đổi tỷ giá,,,(819),(263),,,-819.0,-263.0
(Chi phí)/Lợi ích thuế TNDN hoãn lại tính vào Báo cáo kết quả hoạt động kinh doanh hợp nhất,Thuế TNDN hoãn lại phải trả > (Chi phí)/Lợi ích thuế TNDN hoãn lại tính vào Báo cáo kết quả hoạt động kinh doanh hợp nhất,(Chi phí)/Lợi ích thuế TNDN hoãn lại tính vào Báo cáo kết quả hoạt động kinh doanh hợp nhất,,,(47.504),281.261,,,-47504.0,281261.0
