row_label_raw,row_label_full,col_0,Miền BắcTriệu đồng,Miền TrungTriệu đồng,Miền NamTriệu đồng,LàoTriệu đồng,CampuchiaTriệu đồng,Tổng bộ phandida bảo cáoTriệu đồng,Loại trừTriệu đồng,Tổng cộngTriệu đồng,numeric__Miền BắcTriệu đồng,numeric__Miền TrungTriệu đồng,numeric__Miền NamTriệu đồng,numeric__LàoTriệu đồng,numeric__CampuchiaTriệu đồng,numeric__Tổng bộ phandida bảo cáoTriệu đồng,numeric__Loại trừTriệu đồng,numeric__Tổng cộngTriệu đồng
Thu nhập lãi và các khoản thu nhậptrương tự,Thu nhập lãi và các khoản thu nhậptrương tự,Thu nhập lãi và các khoản thu nhậptrương tự,6.462.381(4.314.877),6.508.166(3.626.777),26.809.186(20.070.977),238.498(162.593),280.292(158.812),40.298.523(28.334.036),(10.607.787)10.607.787,29.690.736(17.726.249),,,,,,,,
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,6.462.381(4.314.877),6.508.166(3.626.777),26.809.186(20.070.977),238.498(162.593),280.292(158.812),40.298.523(28.334.036),(10.607.787)10.607.787,29.690.736(17.726.249),,,,,,,,
Thu nhập lãi thuần,Chi phí lãi và các chi phí tương tự > Thu nhập lãi thuần,Thu nhập lãi thuần,2.147.504,2.881.389,6.738.209,75.905,121.480,11.964.487,-,11.964.487,2147504.0,2881389.0,6738209.0,75905.0,121480.0,11964487.0,,11964487.0
Các khoản thu nhập ngoài lãi,Chi phí lãi và các chi phí tương tự > Các khoản thu nhập ngoài lãi,Các khoản thu nhập ngoài lãi,255.948,232.972,5.020.760,59.016,171.134,5.739.830,-,5.739.830,255948.0,232972.0,5020760.0,59016.0,171134.0,5739830.0,,5739830.0
TỔNG THU NHẬP HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,2.403.452,3.114.361,11.758.969,134.921,292.614,17.704.317,-,17.704.317,2403452.0,3114361.0,11758969.0,134921.0,292614.0,17704317.0,,17704317.0
TỔNG CHI PHÍ HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(980.530),(832.388),(7.673.080),(102.048),(161.870),(9.749.916),-,(9.749.916),-980530.0,-832388.0,-7673080.0,-102048.0,-161870.0,-9749916.0,,-9749916.0
Lợi nhuận thuần từ hoạt động kinh doanhtrước chi phí dự phòng rủi ro tin dụng,Chi phí lãi và các chi phí tương tự > Lợi nhuận thuần từ hoạt động kinh doanhtrước chi phí dự phòng rủi ro tin dụng,Lợi nhuận thuần từ hoạt động kinh doanhtrước chi phí dự phòng rủi ro tin dụng,1.422.922,2.281.973,4.085.889,32.873,130.744,7.954.401,-,7.954.401,1422922.0,2281973.0,4085889.0,32873.0,130744.0,7954401.0,,7954401.0
Chi phí dự phòng rủi ro tin dụng,Chi phí lãi và các chi phí tương tự > Chi phí dự phòng rủi ro tin dụng,Chi phí dự phòng rủi ro tin dụng,-,-,(3.585.038),(17.724),48.387,(3.554.375),-,(3.554.375),,,-3585038.0,-17724.0,48387.0,-3554375.0,,-3554375.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,Chi phí lãi và các chi phí tương tự > TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,1.422.922,2.281.973,500.851,15.149,179.131,4.400.026,-,4.400.026,1422922.0,2281973.0,500851.0,15149.0,179131.0,4400026.0,,4400026.0
Tổng chi phí thuế thu nhập doanh nghiệp,Chi phí lãi và các chi phí tương tự > Tổng chi phí thuế thu nhập doanh nghiệp,Tổng chi phí thuế thu nhập doanh nghiệp,-,-,(978.789),(4.280),(5.461),(988.530),-,(988.530),,,-978789.0,-4280.0,-5461.0,-988530.0,,-988530.0
