row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận chuyểnTriệu đồng,KhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận chuyểnTriệu đồng,numeric__KhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,4.173.507,2.500.099,732.858,380.419,7.786.883,4173507.0,2500099.0,732858.0,380419.0,7786883.0
Tăng do mua mới và nâng cấp,Nguyên giá > Tăng do mua mới và nâng cấp,Tăng do mua mới và nâng cấp,2.975,68.791,45.796,11.958,129.520,2975.0,68791.0,45796.0,11958.0,129520.0
Kết chuyển từ đầu tư xây dựng cơ bảnvà mua sắm tài sản cố định,Nguyên giá > Kết chuyển từ đầu tư xây dựng cơ bảnvà mua sắm tài sản cố định,Kết chuyển từ đầu tư xây dựng cơ bảnvà mua sắm tài sản cố định,15.567,103.971,10.103,6.651,136.292,15567.0,103971.0,10103.0,6651.0,136292.0
Thanh lý và nhượng bán,Nguyên giá > Thanh lý và nhượng bán,Thanh lý và nhượng bán,(39.984),(33.954),(36.052),(6.932),(116.922),-39984.0,-33954.0,-36052.0,-6932.0,-116922.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(40),-,-,(40),,-40.0,,,-40.0
Chênh lệch đánh giá lại tỷ giá,Nguyên giá > Chênh lệch đánh giá lại tỷ giá,Chênh lệch đánh giá lại tỷ giá,(54.340),(608),(1.709),(11.423),(68.080),-54340.0,-608.0,-1709.0,-11423.0,-68080.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,4.097.725,2.638.259,750.996,380.673,7.867.653,4097725.0,2638259.0,750996.0,380673.0,7867653.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,1.004.627,1.477.847,382.623,175.302,3.040.399,1004627.0,1477847.0,382623.0,175302.0,3040399.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,114.324,213.210,69.656,37.376,434.566,114324.0,213210.0,69656.0,37376.0,434566.0
Thanh lý và nhượng bán,Giá trị khấu hao lũy kế > Thanh lý và nhượng bán,Thanh lý và nhượng bán,(15.679),(33.105),(35.214),(6.011),(90.009),-15679.0,-33105.0,-35214.0,-6011.0,-90009.0
Chênh lệch đánh giá lại tỷ giá,Giá trị khấu hao lũy kế > Chênh lệch đánh giá lại tỷ giá,Chênh lệch đánh giá lại tỷ giá,(24.910),(441),(1.578),(9.048),(35.977),-24910.0,-441.0,-1578.0,-9048.0,-35977.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,1.078.362,1.657.511,415.487,197.619,3.348.979,1078362.0,1657511.0,415487.0,197619.0,3348979.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,3.168.880,1.022.252,350.235,205.117,4.746.484,3168880.0,1022252.0,350235.0,205117.0,4746484.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,3.019.363,980.748,335.509,183.054,4.518.674,3019363.0,980748.0,335509.0,183054.0,4518674.0
