row_label_raw,row_label_full,col_0,Quế hạnTriệu đồng,Khôngchịu lãiTriệu đồng,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộngTriệu đồng,numeric__Quế hạnTriệu đồng,numeric__Khôngchịu lãiTriệu đồng,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộngTriệu đồng
,,,Quế hạnTriệu đồng,Khôngchịu lãiTriệu đồng,Đến 1thángTriệu đồng,Từ 1 đến 3thángTriệu đồng,Từ 3 đến 6thángTriệu đồng,Từ 6 đến 12thángTriệu đồng,Từ 1 đến 5nămTriệu đồng,Trên 5nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc và đá quý","Tài sản > Tiền mặt, vàng bạc và đá quý","Tiền mặt, vàng bạc và đá quý",-,8.222.365,-,-,-,-,-,-,8.222.365,,8222365.0,,,,,,,8222365.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,871.354,11.298.513,-,-,-,-,-,12.169.867,,871354.0,11298513.0,,,,,,12169867.0
Tiền gửi tại và cho vaycác TCTD khác,Tài sản > Tiền gửi tại và cho vaycác TCTD khác,Tiền gửi tại và cho vaycác TCTD khác,-,-,7.739.824,290.186,232.129,91.440,-,-,8.353.579,,,7739824.0,290186.0,232129.0,91440.0,,,8353579.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,7.327.528,-,135.434.025,233.337.672,869.769,996.007,3.985.588,5.979.007,387.929.596,7327528.0,,135434025.0,233337672.0,869769.0,996007.0,3985588.0,5979007.0,387929596.0
Hoạt động mua nợ - gộp,Tài sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,-,-,-,285.967,-,-,-,-,285.967,,,,285967.0,,,,,285967.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,23.734.121,3.261.138,1.701.091,1.510.598,2.169.230,24.209.956,19.112.300,75.698.434,,23734121.0,3261138.0,1701091.0,1510598.0,2169230.0,24209956.0,19112300.0,75698434.0
"Gộp vốn, đầu tư dài hạn - gộp","Tài sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,97.014,-,-,-,-,-,-,97.014,,97014.0,,,,,,,97014.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,8.195.276,-,-,-,-,-,-,8.195.276,,8195276.0,,,,,,,8195276.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,2.092.556,34.202.918,-,-,-,-,-,-,36.295.474,2092556.0,34202918.0,,,,,,,36295474.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,9.420.084,75.323.048,157.733.500,235.614.916,2.612.496,3.256.677,28.195.544,25.091.307,537.247.572,9420084.0,75323048.0,157733500.0,235614916.0,2612496.0,3256677.0,28195544.0,25091307.0,537247572.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ NHNN Việt Nam,Nợ phải trả > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,452.850,69.895,-,-,-,-,522.745,,,452850.0,69895.0,,,,,522745.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,6.983.598,5.541.616,2.663.657,40.228,-,-,15.229.099,,,6983598.0,5541616.0,2663657.0,40228.0,,,15229099.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,913.000,186.999.137,77.242.914,77.424.057,71.177.864,13.607.689,22.111,427.386.772,,913000.0,186999137.0,77242914.0,77424057.0,71177864.0,13607689.0,22111.0,427386772.0
Các công cụ tài chính phải sinhvà các nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinhvà các nợ tài chính khác,Các công cụ tài chính phải sinhvà các nợ tài chính khác,-,108.003,-,-,-,-,-,-,108.003,,108003.0,,,,,,,108003.0
"Vốn tải trợ, ủy thác đầu tư, chovay TCTD chịu rủi ro","Nợ phải trả > Vốn tải trợ, ủy thác đầu tư, chovay TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, chovay TCTD chịu rủi ro",-,-,-,-,-,-,50.669,228.271,278.940,,,,,,,50669.0,228271.0,278940.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,648.772,3.758.873,6.422.182,7.260.352,3.013.600,-,21.103.779,,,648772.0,3758873.0,6422182.0,7260352.0,3013600.0,,21103779.0
