row_label_raw,row_label_full,col_0,Sốđầu nămTriệu đồng,Phát sinh trong năm > Sốphải nộpTriệu đồng,Phát sinh trong năm > Sốđã nộpTriệu đồng,Phát sinh trong năm > Điều chínhkhácTriệu đồng,Sốcuối nămTriệu đồng,numeric__Sốđầu nămTriệu đồng,numeric__Phát sinh trong năm > Sốphải nộpTriệu đồng,numeric__Phát sinh trong năm > Sốđã nộpTriệu đồng,numeric__Phát sinh trong năm > Điều chínhkhácTriệu đồng,numeric__Sốcuối nămTriệu đồng
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,454.490,941.026,(1.374.291),(1.078),20.147,454490.0,941026.0,-1374291.0,-1078.0,20147.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,36.228,643.838,(641.895),-,38.171,36228.0,643838.0,-641895.0,,38171.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,45.948,455.305,(453.060),-,48.193,45948.0,455305.0,-453060.0,,48193.0
,,,536.666,2.040.169,(2.469.246),(1.078),106.511,536666.0,2040169.0,-2469246.0,-1078.0,106511.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Tạm ứng thuế,Trong đó: > Tạm ứng thuế,Tạm ứng thuế,(4.153),,,,(228.262),-4153.0,,,,-228262.0
Thuế và các khoản phải nộp Nhà nước,Trong đó: > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,540.819,,,,334.773,540819.0,,,,334773.0
