row_label_raw,row_label_full,col_0,EURđược quy đổiTriệu đồng,USDđược quy đổiTriệu đồng,Vàngđược quy đổiTriệu đồng,Các ngoại tệ khácđược quy đổiTriệu đồng,Tổng cộngTriệu đồng,numeric__EURđược quy đổiTriệu đồng,numeric__USDđược quy đổiTriệu đồng,numeric__Vàngđược quy đổiTriệu đồng,numeric__Các ngoại tệ khácđược quy đổiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
"Tiền mặt, vàng bạc và đá quý","Tài sản > Tiền mặt, vàng bạc và đá quý","Tiền mặt, vàng bạc và đá quý",195.892,1.515.135,158.512,509.790,2.379.329,195892.0,1515135.0,158512.0,509790.0,2379329.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,1.632,2.062.302,-,753.717,2.817.651,1632.0,2062302.0,,753717.0,2817651.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,59.263,2.414.367,-,565.587,3.039.217,59263.0,2414367.0,,565587.0,3039217.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,4.445,13.950.791,600.576,1.900.800,16.456.612,4445.0,13950791.0,600576.0,1900800.0,16456612.0
Hoạt động mua nợ,Tài sản > Hoạt động mua nợ,Hoạt động mua nợ,-,285.967,-,-,285.967,,285967.0,,,285967.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,572,-,17.220,17.792,,572.0,,17220.0,17792.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,38.424,-,150.011,188.435,,38424.0,,150011.0,188435.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,6.785,2.359.900,12,92.008,2.458.705,6785.0,2359900.0,12.0,92008.0,2458705.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,268.017,22.627.458,759.100,3.989.133,27.643.708,268017.0,22627458.0,759100.0,3989133.0,27643708.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,3.689,6.871.063,-,111.019,6.985.771,3689.0,6871063.0,,111019.0,6985771.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,245.194,13.966.182,-,2.000.398,16.211.774,245194.0,13966182.0,,2000398.0,16211774.0
4Công cụ tài chính phải sinh và các nợ tài chính khác,Nợ phải trả và vốn chủ sở hữu > 4Công cụ tài chính phải sinh và các nợ tài chính khác,4Công cụ tài chính phải sinh và các nợ tài chính khác,1.387,1.149.028,-,247.343,1.397.758,1387.0,1149028.0,,247343.0,1397758.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,278.940,278.940,,,,278940.0,278940.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,5,-,-,5,,5.0,,,5.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,10.517,456.366,-,119.716,586.599,10517.0,456366.0,,119716.0,586599.0
Tổng nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,260.787,22.442.644,-,2.757.416,25.460.847,260787.0,22442644.0,,2757416.0,25460847.0
Trạng thái tiền tệ nội bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,7.230,184.814,759.100,1.231.717,2.182.861,7230.0,184814.0,759100.0,1231717.0,2182861.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,(6.461),(143.079),(118.372),(79.152),(347.064),-6461.0,-143079.0,-118372.0,-79152.0,-347064.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",769,41.735,640.728,1.152.565,1.835.797,769.0,41735.0,640728.0,1152565.0,1835797.0
