row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtTriệu đồng,Phần mềmmáy vi tínhTriệu đồng,TSCĐvô hình khácTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyềnsử dụng đấtTriệu đồng,numeric__Phần mềmmáy vi tínhTriệu đồng,numeric__TSCĐvô hình khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,3.485.837,1.611.305,612,5.097.754,3485837.0,1611305.0,612.0,5097754.0
Tăng do nâng cấp vàmua mới,Nguyên giá > Tăng do nâng cấp vàmua mới,Tăng do nâng cấp vàmua mới,28.909,9.690,178,38.777,28909.0,9690.0,178.0,38777.0
Kết chuyển từ đầu tưxây dựng cơ bản vàmua sắm tài sản cố định,Nguyên giá > Kết chuyển từ đầu tưxây dựng cơ bản vàmua sắm tài sản cố định,Kết chuyển từ đầu tưxây dựng cơ bản vàmua sắm tài sản cố định,-,172.121,-,172.121,,172121.0,,172121.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(141.923),-,-,(141.923),-141923.0,,,-141923.0
Chênh lệch quy đổi tỷ giá,Nguyên giá > Chênh lệch quy đổi tỷ giá,Chênh lệch quy đổi tỷ giá,(6.702),(3.054),-,(9.756),-6702.0,-3054.0,,-9756.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,3.366.121,1.790.062,790,5.156.973,3366121.0,1790062.0,790.0,5156973.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,252.910,1.015.375,529,1.268.814,252910.0,1015375.0,529.0,1268814.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,29.097,185.370,50,214.517,29097.0,185370.0,50.0,214517.0
Chênh lệch quy đổi tỷ giá,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tỷ giá,Chênh lệch quy đổi tỷ giá,-,(2.960),-,(2.960),,-2960.0,,-2960.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,282.007,1.197.785,579,1.480.371,282007.0,1197785.0,579.0,1480371.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,3.232.927,595.930,83,3.828.940,3232927.0,595930.0,83.0,3828940.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,3.084.114,592.277,211,3.676.602,3084114.0,592277.0,211.0,3676602.0
