row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Nguyên giá VND,Giá trị ghi sổ > Dự phòng giảm giá trị VND,Giá trị ghi sổ > Giá trị thuần VND,Giá trị hợp lý > VND,numeric__Giá trị ghi sổ > Nguyên giá VND,numeric__Giá trị ghi sổ > Dự phòng giảm giá trị VND,numeric__Giá trị ghi sổ > Giá trị thuần VND,numeric__Giá trị hợp lý > VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Chứng khoán kinh doanh,Tài sản tài chính > Chứng khoán kinh doanh,Chứng khoán kinh doanh,52.085.582.267,-,52.085.582.267,77.395.775.000,52085582267.0,,52085582267.0,77395775000.0
- Cổ phiếu niêm yết,Tài sản tài chính > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,7.085.582.267,-,7.085.582.267,7.217.775.000,7085582267.0,,7085582267.0,7217775000.0
- Chứng chỉ quỹ,Tài sản tài chính > - Chứng chỉ quỹ,- Chứng chỉ quỹ,45.000.000.000,-,45.000.000.000,70.178.000.000,45000000000.0,,45000000000.0,70178000000.0
Đầu tư nắm giữ đến ngày đáo hạn,Tài sản tài chính > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,1.523.211.828.764,(318.709.500.000),1.204.502.328.764,1.201.485.169.226,1523211828764.0,-318709500000.0,1204502328764.0,1201485169226.0
- Hợp đồng tiền gửi,Tài sản tài chính > - Hợp đồng tiền gửi,- Hợp đồng tiền gửi,1.368.502.328.764,(164.000.000.000),1.204.502.328.764,1.201.485.169.226,1368502328764.0,-164000000000.0,1204502328764.0,1201485169226.0
- Trái phiếu,Tài sản tài chính > - Trái phiếu,- Trái phiếu,154.709.500.000,(154.709.500.000),-,-,154709500000.0,-154709500000.0,,
Đầu tư tài chính khác,Tài sản tài chính > Đầu tư tài chính khác,Đầu tư tài chính khác,521.335.637.261,(44.552.619.952),476.783.017.309,739.473.419.116,521335637261.0,-44552619952.0,476783017309.0,739473419116.0
Các khoản phải thu,Tài sản tài chính > Các khoản phải thu,Các khoản phải thu,1.122.768.433.236,-,1.122.768.433.236,1.122.768.433.236,1122768433236.0,,1122768433236.0,1122768433236.0
- Phải thu các bên liên quan,Tài sản tài chính > - Phải thu các bên liên quan,- Phải thu các bên liên quan,91.421.435.659,-,91.421.435.659,91.421.435.659,91421435659.0,,91421435659.0,91421435659.0
- Phải thu cổ tức và lợi nhuận,Tài sản tài chính > - Phải thu cổ tức và lợi nhuận,- Phải thu cổ tức và lợi nhuận,1.019.745.904.100,-,1.019.745.904.100,1.019.745.904.100,1019745904100.0,,1019745904100.0,1019745904100.0
- Phải thu khác,Tài sản tài chính > - Phải thu khác,- Phải thu khác,11.601.093.477,-,11.601.093.477,11.601.093.477,11601093477.0,,11601093477.0,11601093477.0
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.328.517.294.738,-,1.328.517.294.738,1.328.517.294.738,1328517294738.0,,1328517294738.0,1328517294738.0
TỔNG CỘNG,Tài sản tài chính > TỔNG CỘNG,TỔNG CỘNG,4.547.918.776.266,(363.262.119.952),4.184.656.656.314,4.469.640.091.316,4547918776266.0,-363262119952.0,4184656656314.0,4469640091316.0
