row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2023 > Giá gốc VND,Ngày 31 tháng 12 năm 2023 > Giá trị ghi số (sau khi trích lập dự phòng) VND,Ngày 31 tháng 12 năm 2022 > Giá gốc VND,Ngày 31 tháng 12 năm 2022 > Giá trị ghi số (sau khi trích lập dự phòng) VND,numeric__Ngày 31 tháng 12 năm 2023 > Giá gốc VND,numeric__Ngày 31 tháng 12 năm 2023 > Giá trị ghi số (sau khi trích lập dự phòng) VND,numeric__Ngày 31 tháng 12 năm 2022 > Giá gốc VND,numeric__Ngày 31 tháng 12 năm 2022 > Giá trị ghi số (sau khi trích lập dự phòng) VND
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,,,
Công ty Cổ phần Đầu tư và Phát triển Cắng Đình Vũ,Cổ phiếu niêm yết > Công ty Cổ phần Đầu tư và Phát triển Cắng Đình Vũ,Công ty Cổ phần Đầu tư và Phát triển Cắng Đình Vũ,-,-,7.085.582.267,7.085.582.267,,,7085582267.0,7085582267.0
,,,-,-,7.085.582.267,7.085.582.267,,,7085582267.0,7085582267.0
Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,,,,
Quỹ Đầu tư Cổ phiếu Năng động Bảo Việt (“BVFED”),Chứng chỉ quỹ > Quỹ Đầu tư Cổ phiếu Năng động Bảo Việt (“BVFED”),Quỹ Đầu tư Cổ phiếu Năng động Bảo Việt (“BVFED”),25.000.000.000,25.000.000.000,25.000.000.000,25.000.000.000,25000000000.0,25000000000.0,25000000000.0,25000000000.0
Quỹ Đầu tư Cổ phiếu Triển vọng Bảo Việt (“BVPF”),Chứng chỉ quỹ > Quỹ Đầu tư Cổ phiếu Triển vọng Bảo Việt (“BVPF”),Quỹ Đầu tư Cổ phiếu Triển vọng Bảo Việt (“BVPF”),20.000.000.000,20.000.000.000,20.000.000.000,20.000.000.000,20000000000.0,20000000000.0,20000000000.0,20000000000.0
Quỹ ETF BVFVN DIAMOND,Chứng chỉ quỹ > Quỹ ETF BVFVN DIAMOND,Quỹ ETF BVFVN DIAMOND,17.063.124.199,17.063.124.199,-,-,17063124199.0,17063124199.0,,
,,,62.063.124.199,62.063.124.199,45.000.000.000,45.000.000.000,62063124199.0,62063124199.0,45000000000.0,45000000000.0
TỔNG CỘNG,Chứng chỉ quỹ > TỔNG CỘNG,TỔNG CỘNG,62.063.124.199,62.063.124.199,52.085.582.267,52.085.582.267,62063124199.0,62063124199.0,52085582267.0,52085582267.0
