row_label_raw,row_label_full,col_0,Năm 2023VND,numeric__Năm 2023VND
Thù lao của thành viên Hội đồng Quản trị,Thù lao của thành viên Hội đồng Quản trị,Thù lao của thành viên Hội đồng Quản trị,Thù lao của thành viên Hội đồng Quản trị,
Bà Trần Thị Diệu Hằng,Thù lao của thành viên Hội đồng Quản trị > Bà Trần Thị Diệu Hằng,Bà Trần Thị Diệu Hằng,240.000.000,240000000.0
Bà Thân Hiền Anh,Thù lao của thành viên Hội đồng Quản trị > Bà Thân Hiền Anh,Bà Thân Hiền Anh,240.000.000,240000000.0
Ông Nguyễn Xuân Việt,Thù lao của thành viên Hội đồng Quản trị > Ông Nguyễn Xuân Việt,Ông Nguyễn Xuân Việt,240.000.000,240000000.0
Ông Nguyễn Đình An,Thù lao của thành viên Hội đồng Quản trị > Ông Nguyễn Đình An,Ông Nguyễn Đình An,240.000.000,240000000.0
Ông Arai Kazuhiko,Thù lao của thành viên Hội đồng Quản trị > Ông Arai Kazuhiko,Ông Arai Kazuhiko,240.000.000,240000000.0
Ông Inami Ryota,Thù lao của thành viên Hội đồng Quản trị > Ông Inami Ryota,Ông Inami Ryota,240.000.000,240000000.0
Tiền lương và chi phí hoạt động của Ban Kiểm soát,Thù lao của thành viên Hội đồng Quản trị > Tiền lương và chi phí hoạt động của Ban Kiểm soát,Tiền lương và chi phí hoạt động của Ban Kiểm soát,780.571.532,780571532.0
Tiền lương của Tổng Giám đốc và Người quản lý khác,Tiền lương của Tổng Giám đốc và Người quản lý khác,Tiền lương của Tổng Giám đốc và Người quản lý khác,Tiền lương của Tổng Giám đốc và Người quản lý khác,
Ông Nguyễn Đình An,Tiền lương của Tổng Giám đốc và Người quản lý khác > Ông Nguyễn Đình An,Ông Nguyễn Đình An,409.959.600,409959600.0
Ông Nguyễn Xuân Hòa,Tiền lương của Tổng Giám đốc và Người quản lý khác > Ông Nguyễn Xuân Hòa,Ông Nguyễn Xuân Hòa,889.066.092,889066092.0
