row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Năm 2022,Năm 2022,Năm 2022,Năm 2022,Năm 2022,Năm 2022,Năm 2022,Năm 2022,,,,,
Ngày 31 tháng 12 năm 2021,Năm 2022 > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,7.423.227.640.000,7.310.458.742.807,1.193.628.491.611,2.592.148.824.002,18.519.463.698.420,7423227640000.0,7310458742807.0,1193628491611.0,2592148824002.0,18519463698420.0
- Chi trả cổ tức cho cổ đông,Năm 2022 > - Chi trả cổ tức cho cổ đông,- Chi trả cổ tức cho cổ đông,-,-,-,(2.246.342.913.736),(2.246.342.913.736),,,,-2246342913736.0,-2246342913736.0
- Trích Quỹ Khen thưởng Phúc lợi và Quỹ thưởng cho Người Quản lý,Năm 2022 > - Trích Quỹ Khen thưởng Phúc lợi và Quỹ thưởng cho Người Quản lý,- Trích Quỹ Khen thưởng Phúc lợi và Quỹ thưởng cho Người Quản lý,-,-,-,(36.586.014.124),(36.586.014.124),,,,-36586014124.0,-36586014124.0
- Trích Quỹ Đầu tư Phát triển,Năm 2022 > - Trích Quỹ Đầu tư Phát triển,- Trích Quỹ Đầu tư Phát triển,-,-,309.168.928.127,(309.168.928.127),-,,,309168928127.0,-309168928127.0,
- Lợi nhuận trong năm,Năm 2022 > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,1.065.593.003.834,1.065.593.003.834,,,,1065593003834.0,1065593003834.0
Ngày 31 tháng 12 năm 2022,Năm 2022 > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,7.423.227.640.000,7.310.458.742.807,1.502.797.419.738,1.065.643.971.849,17.302.127.774.394,7423227640000.0,7310458742807.0,1502797419738.0,1065643971849.0,17302127774394.0
Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,,,,,
Ngày 31 tháng 12 năm 2022,Năm 2023 > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,7.423.227.640.000,7.310.458.742.807,1.502.797.419.738,1.065.643.971.849,17.302.127.774.394,7423227640000.0,7310458742807.0,1502797419738.0,1065643971849.0,17302127774394.0
- Chi trả cổ tức cho cổ đông,Năm 2023 > - Chi trả cổ tức cho cổ đông,- Chi trả cổ tức cho cổ đông,-,-,-,(708.175.916.856),(708.175.916.856),,,,-708175916856.0,-708175916856.0
- Trích Quỹ Khen thưởng Phúc lợi và Quỹ thưởng cho Người Quản lý (*),Năm 2023 > - Trích Quỹ Khen thưởng Phúc lợi và Quỹ thưởng cho Người Quản lý (*),- Trích Quỹ Khen thưởng Phúc lợi và Quỹ thưởng cho Người Quản lý (*),-,-,-,(37.748.127.469),(37.748.127.469),,,,-37748127469.0,-37748127469.0
- Trích Quỹ Đầu tư Phát triển (*),Năm 2023 > - Trích Quỹ Đầu tư Phát triển (*),- Trích Quỹ Đầu tư Phát triển (*),-,-,319.677.901.150,(319.677.901.150),-,,,319677901150.0,-319677901150.0,
- Lợi nhuận trong năm,Năm 2023 > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,1.116.098.499.386,1.116.098.499.386,,,,1116098499386.0,1116098499386.0
Ngày 31 tháng 12 năm 2023,Năm 2023 > Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,7.423.227.640.000,7.310.458.742.807,1.822.475.320.888,1.116.140.525.760,17.672.302.229.455,7423227640000.0,7310458742807.0,1822475320888.0,1116140525760.0,17672302229455.0
