row_label_raw,row_label_full,Quá hạn,Không xác định kỳ hạn,Đến 1 năm,Từ 1 – 3 năm,Từ 3 – 5 năm,Từ 5 – 15 năm,Trên 15 năm,Tổng cộng,numeric__Không xác định kỳ hạn,numeric__Đến 1 năm,numeric__Từ 1 – 3 năm,numeric__Từ 3 – 5 năm,numeric__Từ 5 – 15 năm,numeric__Trên 15 năm,numeric__Tổng cộng
-,-,-,-,1.328.517,-,-,-,-,1.328.517,,1328517.0,,,,,1328517.0
-,-,-,52.086,-,-,-,-,-,52.086,52086.0,,,,,,52086.0
-,-,-,7.086,-,-,-,-,-,7.086,7086.0,,,,,,7086.0
-,-,-,45.000,-,-,-,-,-,45.000,45000.0,,,,,,45000.0
-,-,-,-,1.225.484,-,-,-,-,1.225.484,,1225484.0,,,,,1225484.0
-,-,-,-,1.225.484,-,-,-,-,1.225.484,,1225484.0,,,,,1225484.0
-,-,-,476.783,-,-,-,-,-,476.783,476783.0,,,,,,476783.0
-,-,-,-,1.122.768,-,-,-,-,1.122.768,,1122768.0,,,,,1122768.0
-,-,-,-,91.421,-,-,-,-,91.421,,91421.0,,,,,91421.0
-,-,-,-,1.019.746,-,-,-,-,1.019.746,,1019746.0,,,,,1019746.0
-,-,-,-,11.601,-,-,-,-,11.601,,11601.0,,,,,11601.0
-,-,-,528.869,3.676.769,-,-,-,-,4.205.638,528869.0,3676769.0,,,,,4205638.0
-,-,-,-,20.169,-,-,-,-,20.169,,20169.0,,,,,20169.0
-,-,-,-,963,-,-,-,-,963,,963.0,,,,,963.0
-,-,-,-,8.346,-,-,-,-,8.346,,8346.0,,,,,8346.0
-,-,-,-,53.046,-,-,-,-,53.046,,53046.0,,,,,53046.0
-,-,-,-,-,90.746,-,-,-,90.746,,,90746.0,,,,90746.0
-,-,-,-,82.524,90.746,-,-,-,173.270,,82524.0,90746.0,,,,173270.0
