row_label_raw,row_label_full,Bên liên quan,Phải thu/(phải trả),Ngày 31 tháng 12năm 2023VND,Ngày 31 tháng 12năm 2022VND,numeric__Phải thu/(phải trả),numeric__Ngày 31 tháng 12năm 2023VND,numeric__Ngày 31 tháng 12năm 2022VND
Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,,,
Sumitomo Life,Cổ đông chiến lược > Sumitomo Life,Sumitomo Life,Phải trả tiền đặt cọc thuêvăn phòng,(44.748.000),(44.748.000),,-44748000.0,-44748000.0
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,
Bảo Việt Nhân thọ,Công ty con > Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,Phải thu về lợi nhuận,838.430.904.100,719.212.904.100,,838430904100.0,719212904100.0
Bảo Việt Nhân thọ,Công ty con > Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,Phải thu chi phí CNTT,45.868.452.258,48.664.244.650,,45868452258.0,48664244650.0
Bảo Việt Nhân thọ,Công ty con > Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,Phải thu từ phân bổ chi phí,675.298.477,2.824.069.350,,675298477.0,2824069350.0
Bảo Việt Nhân thọ,Công ty con > Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,Phải trả khoản An sinh xãhội,(3.100.000.000),(3.100.000.000),,-3100000000.0,-3100000000.0
Bảo Việt Nhân thọ,Công ty con > Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,Phải trả tiền đặt cọc thuê vănphòng,(472.263.651),(472.263.651),,-472263651.0,-472263651.0
Bảo hiểm Bảo Việt,Công ty con > Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Phải thu về lợi nhuận,242.721.000.000,223.376.000.000,,242721000000.0,223376000000.0
Bảo hiểm Bảo Việt,Công ty con > Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Phải thu chi phí CNTT,13.111.366.607,24.313.356.215,,13111366607.0,24313356215.0
Bảo hiểm Bảo Việt,Công ty con > Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Phải thu từ phân bổ chi phí,675.298.477,2.824.069.350,,675298477.0,2824069350.0
Bảo hiểm Bảo Việt,Công ty con > Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Phải trả khoản An sinh xã hội,(2.000.000.000),(1.950.974.770),,-2000000000.0,-1950974770.0
Bảo hiểm Bảo Việt,Công ty con > Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Phải thu tiền cho thuê vănphòng,,244.706.000,,,244706000.0
Bảo hiểm Bảo Việt,Công ty con > Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Phải trả tiền đặt cọc thuêvăn phòng,(69.916.000),-,,-69916000.0,
BVF,Công ty con > BVF,BVF,Phải thu về lợi nhuận,70.218.000.000,47.732.000.000,,70218000000.0,47732000000.0
BVF,Công ty con > BVF,BVF,Phải thu chi phí CNTT,393.091.840,457.974.324,,393091840.0,457974324.0
BVF,Công ty con > BVF,BVF,Phải thu khoản An sinh xãhội,2.319.960.000,1.500.000.000,,2319960000.0,1500000000.0
BVF,Công ty con > BVF,BVF,Phải trả tiền đặt cọc thuêvăn phòng,(372.402.800),(372.402.800),,-372402800.0,-372402800.0
BVIF,Công ty con > BVIF,BVIF,Phải thu cổ tức,42.000.000.000,21.000.000.000,,42000000000.0,21000000000.0
