row_label_raw,row_label_full,Bên liên quan,Phải thu/(phải trả),Ngày 31 tháng 12 năm 2023 VND,Ngày 31 tháng 12 năm 2022 VND,numeric__Phải thu/(phải trả),numeric__Ngày 31 tháng 12 năm 2023 VND,numeric__Ngày 31 tháng 12 năm 2022 VND
Công ty con (tiếp theo),Công ty con (tiếp theo),Công ty con (tiếp theo),Công ty con (tiếp theo),Công ty con (tiếp theo),Công ty con (tiếp theo),,,
BVSC,Công ty con (tiếp theo) > BVSC,BVSC,Tiền gửi giao dịch chứng khoán,3.736.872.648,218.008.994,,3736872648.0,218008994.0
BVSC,Công ty con (tiếp theo) > BVSC,BVSC,Phải thu chi phí CNTT,32.986.657,120.760.504,,32986657.0,120760504.0
BVSC,Công ty con (tiếp theo) > BVSC,BVSC,Phải thu khác,50.000.000,50.000.000,,50000000.0,50000000.0
BVSC,Công ty con (tiếp theo) > BVSC,BVSC,Phải trả đặt cọc thuê văn phòng,(1.320.907.170),(564.841.200),,-1320907170.0,-564841200.0
BVSC,Công ty con (tiếp theo) > BVSC,BVSC,Phải thu tiền cho thuê văn phòng,1.271.655.000,-,,1271655000.0,
BVSC,Công ty con (tiếp theo) > BVSC,BVSC,Phải trả khác,-,(105.000.000),,,-105000000.0
BVInvest,Công ty con (tiếp theo) > BVInvest,BVInvest,Phải thu về lợi nhuận,10.034.000.000,8.425.000.000,,10034000000.0,8425000000.0
BVInvest,Công ty con (tiếp theo) > BVInvest,BVInvest,Phải thu chi phí CNTT,72.365.918,80.715.485,,72365918.0,80715485.0
BVInvest,Công ty con (tiếp theo) > BVInvest,BVInvest,Phải thu tiền cho thuê văn phòng và phí giữ xe,1.926.021.359,17.246.697.011,,1926021359.0,17246697011.0
BVInvest,Công ty con (tiếp theo) > BVInvest,BVInvest,Phải thu khác,-,203.143.491,,,203143491.0
BVInvest,Công ty con (tiếp theo) > BVInvest,BVInvest,Phải trả phí quản lý tòa nhà và thủ lao ủy thác,-,(1.419.695.726),,,-1419695726.0
BVInvest,Công ty con (tiếp theo) > BVInvest,BVInvest,Phải trả khác,(755.104.082),(686.802.320),,-755104082.0,-686802320.0
BVInvest,Công ty con (tiếp theo) > BVInvest,BVInvest,Phải trả tiền đặt cọc thuê văn phòng,(16.003.373.356),(13.245.018.240),,-16003373356.0,-13245018240.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,
Bảo Việt Bank,Công ty liên kết > Bảo Việt Bank,Bảo Việt Bank,Số dư tiền gửi thanh toán,27.606.493.617,38.306.828.377,,27606493617.0,38306828377.0
Bảo Việt Bank,Công ty liên kết > Bảo Việt Bank,Bảo Việt Bank,Số dư tiền gửi có kỳ hạn,525.000.000.000,736.000.000.000,,525000000000.0,736000000000.0
Bảo Việt Bank,Công ty liên kết > Bảo Việt Bank,Bảo Việt Bank,Phải thu từ hoạt động đầu tư tiền gửi,855.775.342,6.857.369.865,,855775342.0,6857369865.0
Bảo Việt Bank,Công ty liên kết > Bảo Việt Bank,Bảo Việt Bank,Phải thu chi phí CNTT,299.655.766,292.981.470,,299655766.0,292981470.0
Bảo Việt Bank,Công ty liên kết > Bảo Việt Bank,Bảo Việt Bank,Phải trả tiền đặt cọc thuê văn phòng,(419.139.600),(419.139.600),,-419139600.0,-419139600.0
