row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Nguyên giá VND,Giá trị ghi sổ > Dự phòng giảm giá trị VND,Giá trị ghi sổ > Giá trị thuần VND,Giá trị hợp lý > VND,numeric__Giá trị ghi sổ > Nguyên giá VND,numeric__Giá trị ghi sổ > Dự phòng giảm giá trị VND,numeric__Giá trị ghi sổ > Giá trị thuần VND,numeric__Giá trị hợp lý > VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Chứng khoán kinh doanh,Tài sản tài chính > Chứng khoán kinh doanh,Chứng khoán kinh doanh,62.063.124.199,-,62.063.124.199,101.841.514.000,62063124199.0,,62063124199.0,101841514000.0
- Chứng chỉ quỹ,Tài sản tài chính > - Chứng chỉ quỹ,- Chứng chỉ quỹ,62.063.124.199,-,62.063.124.199,101.841.514.000,62063124199.0,,62063124199.0,101841514000.0
Đầu tư nắm giữ đến ngày đáo hạn,Tài sản tài chính > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,318.709.500.000,(318.709.500.000),-,-,318709500000.0,-318709500000.0,,
- Hợp đồng tiền gửi,Tài sản tài chính > - Hợp đồng tiền gửi,- Hợp đồng tiền gửi,164.000.000.000,(164.000.000.000),-,-,164000000000.0,-164000000000.0,,
- Trái phiếu,Tài sản tài chính > - Trái phiếu,- Trái phiếu,154.709.500.000,(154.709.500.000),-,-,154709500000.0,-154709500000.0,,
Đầu tư tài chính khác,Tài sản tài chính > Đầu tư tài chính khác,Đầu tư tài chính khác,521.335.637.261,(40.655.913.746),480.679.723.515,937.920.006.801,521335637261.0,-40655913746.0,480679723515.0,937920006801.0
Các khoản phải thu,Tài sản tài chính > Các khoản phải thu,Các khoản phải thu,1.276.260.999.243,-,1.276.260.999.243,1.276.260.999.243,1276260999243.0,,1276260999243.0,1276260999243.0
- Phải thu các bên liên quan,Tài sản tài chính > - Phải thu các bên liên quan,- Phải thu các bên liên quan,62.975.595.405,-,62.975.595.405,62.975.595.405,62975595405.0,,62975595405.0,62975595405.0
- Phải thu cổ tức và lợi nhuận,Tài sản tài chính > - Phải thu cổ tức và lợi nhuận,- Phải thu cổ tức và lợi nhuận,1.203.403.904.100,-,1.203.403.904.100,1.203.403.904.100,1203403904100.0,,1203403904100.0,1203403904100.0
- Phải thu khác,Tài sản tài chính > - Phải thu khác,- Phải thu khác,9.881.499.738,-,9.881.499.738,9.881.499.738,9881499738.0,,9881499738.0,9881499738.0
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,2.755.478.660.198,-,2.755.478.660.198,2.755.478.660.198,2755478660198.0,,2755478660198.0,2755478660198.0
TỔNG CỘNG,Tài sản tài chính > TỔNG CỘNG,TỔNG CỘNG,4.933.847.920.901,(359.365.413.746),4.574.482.507.155,5.071.501.180.242,4933847920901.0,-359365413746.0,4574482507155.0,5071501180242.0
