row_label_raw,row_label_full,col_0,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 VND
Chi phí hoạt động tài chính,Chi phí hoạt động tài chính,Chi phí hoạt động tài chính,(3.585.265.010),10.643.958.190,-3585265010.0,10643958190.0
- (Hoàn nhập)/Trích lập dự phòng giảm giá đầu tư,- (Hoàn nhập)/Trích lập dự phòng giảm giá đầu tư,- (Hoàn nhập)/Trích lập dự phòng giảm giá đầu tư,(3.896.706.206),9.590.273.595,-3896706206.0,9590273595.0
- Chi phí lãi vay và chi phí tài chính khác,- Chi phí lãi vay và chi phí tài chính khác,- Chi phí lãi vay và chi phí tài chính khác,311.441.196,1.053.684.595,311441196.0,1053684595.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,81.215.334.155,73.172.536.311,81215334155.0,73172536311.0
Chi phí khấu hao và hao mòn tài sản cố định,Chi phí khấu hao và hao mòn tài sản cố định,Chi phí khấu hao và hao mòn tài sản cố định,107.695.500.891,110.570.696.868,107695500891.0,110570696868.0
Chi phí mua ngoài hoạt động CNTT,Chi phí mua ngoài hoạt động CNTT,Chi phí mua ngoài hoạt động CNTT,75.409.464.976,68.281.044.409,75409464976.0,68281044409.0
Tiền thuê đất,Tiền thuê đất,Tiền thuê đất,14.032.599.875,11.666.714.786,14032599875.0,11666714786.0
Chi phí đào tạo,Chi phí đào tạo,Chi phí đào tạo,1.806.231.196,2.619.166.881,1806231196.0,2619166881.0
Chi phí quản lý tòa nhà,Chi phí quản lý tòa nhà,Chi phí quản lý tòa nhà,2.704.681.804,5.544.617.887,2704681804.0,5544617887.0
Chi khác,Chi khác,Chi khác,36.926.752.741,29.903.394.575,36926752741.0,29903394575.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,316.205.300.628,312.402.129.907,316205300628.0,312402129907.0
