row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,31/12/2021,Đơn vị tính: VND01/01/2021,numeric__Mã số,numeric__TM,numeric__31/12/2021,numeric__Đơn vị tính: VND01/01/2021
A/ TÀI SẢN NGĂN HẠN,A/ TÀI SẢN NGĂN HẠN,A/ TÀI SẢN NGĂN HẠN,100,,1.208.602.690.457,1.839.072.082.217,100.0,,1208602690457.0,1839072082217.0
I/ Tiền và các khoản tương đương tiền,I/ Tiền và các khoản tương đương tiền,I/ Tiền và các khoản tương đương tiền,110,5.1,169.612.735.102,288.488.166.924,110.0,51.0,169612735102.0,288488166924.0
1. Tiền,1. Tiền,1. Tiền,111,,84.352.071.433,116.771.422.551,111.0,,84352071433.0,116771422551.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,85.260.663.669,171.716.744.373,112.0,,85260663669.0,171716744373.0
II/ Đầu tư tài chính ngắn hạn,II/ Đầu tư tài chính ngắn hạn,II/ Đầu tư tài chính ngắn hạn,120,,333.740.507.950,268.814.834.615,120.0,,333740507950.0,268814834615.0
1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,121,5.13,88.774.013.156,101.315.014.659,121.0,513.0,88774013156.0,101315014659.0
2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,122,5.13,(1.563.505.206),(42.863.029.359),122.0,513.0,-1563505206.0,-42863029359.0
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Đầu tư nắm giữ đến ngày đáo hạn,3. Đầu tư nắm giữ đến ngày đáo hạn,123,5.14,246.530.000.000,210.362.849.315,123.0,514.0,246530000000.0,210362849315.0
III/ Các khoản phải thu ngắn hạn,III/ Các khoản phải thu ngắn hạn,III/ Các khoản phải thu ngắn hạn,130,,481.454.315.299,982.339.045.193,130.0,,481454315299.0,982339045193.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,5.2,62.835.788.563,149.614.498.610,131.0,52.0,62835788563.0,149614498610.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,5.3,289.771.197.577,567.193.448.947,132.0,53.0,289771197577.0,567193448947.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,5.4,169.600.000.000,1.413.884.169.169,135.0,54.0,169600000000.0,1413884169169.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,5.5,1.200.874.691.953,2.739.990.454.469,136.0,55.0,1200874691953.0,2739990454469.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,5.6,(1.245.636.285.484),(3.895.843.181.943),137.0,56.0,-1245636285484.0,-3895843181943.0
6. Tài sản thiếu chờ xử lý,6. Tài sản thiếu chờ xử lý,6. Tài sản thiếu chờ xử lý,139,,4.008.922.690,7.499.655.941,139.0,,4008922690.0,7499655941.0
IV/ Hàng tồn kho,IV/ Hàng tồn kho,IV/ Hàng tồn kho,140,5.7,195.249.791.340,277.464.050.454,140.0,57.0,195249791340.0,277464050454.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,302.374.926.023,282.318.418.016,141.0,,302374926023.0,282318418016.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(107.125.134.683),(4.854.367.562),149.0,,-107125134683.0,-4854367562.0
V/ Tài sản ngắn hạn khác,V/ Tài sản ngắn hạn khác,V/ Tài sản ngắn hạn khác,150,,28.545.340.766,21.965.985.031,150.0,,28545340766.0,21965985031.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,5.8,3.018.941.464,2.423.872.234,151.0,58.0,3018941464.0,2423872234.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,13.004.187.378,8.029.664.907,152.0,,13004187378.0,8029664907.0
3. Thuế và các khoản phải thu Nhà nước,3. Thuế và các khoản phải thu Nhà nước,3. Thuế và các khoản phải thu Nhà nước,153,5.21,12.522.211.924,11.512.447.890,153.0,521.0,12522211924.0,11512447890.0
B/ TÀI SẢN DÀI HẠN,B/ TÀI SẢN DÀI HẠN,B/ TÀI SẢN DÀI HẠN,200,,1.724.241.537.608,1.921.271.288.549,200.0,,1724241537608.0,1921271288549.0
I/ Các khoản phải thu dài hạn,I/ Các khoản phải thu dài hạn,I/ Các khoản phải thu dài hạn,210,,158.530.841.528,382.426.670.596,210.0,,158530841528.0,382426670596.0
1. Trả trước cho người bán dài hạn,1. Trả trước cho người bán dài hạn,1. Trả trước cho người bán dài hạn,212,5.3,179.411.050.180,906.052.163.234,212.0,53.0,179411050180.0,906052163234.0
2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,216,5.5,29.758.122.592,8.030.727.487,216.0,55.0,29758122592.0,8030727487.0
3. Dự phòng phải thu dài hạn khó đòi,3. Dự phòng phải thu dài hạn khó đòi,3. Dự phòng phải thu dài hạn khó đòi,219,5.6,(50.638.331.244),(531.656.220.125),219.0,56.0,-50638331244.0,-531656220125.0
II/ Tài sản cố định,II/ Tài sản cố định,II/ Tài sản cố định,220,,700.798.100.146,760.550.082.515,220.0,,700798100146.0,760550082515.0
