row_label_raw,row_label_full,col_0,31/12/2021 > Giá trịVND,31/12/2021 > Số có khànăng trả nợVND,01/01/2021 > Giá trịVND,01/01/2021 > Số có khànăng trả nợVND,numeric__31/12/2021 > Giá trịVND,numeric__31/12/2021 > Số có khànăng trả nợVND,numeric__01/01/2021 > Giá trịVND,numeric__01/01/2021 > Số có khànăng trả nợVND
Các bên khác,Các bên khác,Các bên khác,311.676.468.918,311.676.468.918,575.663.375.154,575.663.375.154,311676468918.0,311676468918.0,575663375154.0,575663375154.0
Tài sản thừa chờ giải quyết,Tài sản thừa chờ giải quyết,Tài sản thừa chờ giải quyết,23.720.120,23.720.120,4.830.262,4.830.262,23720120.0,23720120.0,4830262.0,4830262.0
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,962.688.583,962.688.583,147.539.307,147.539.307,962688583.0,962688583.0,147539307.0,147539307.0
Bảo hiểm xã hội,Bảo hiểm xã hội,Bảo hiểm xã hội,24.619.121,24.619.121,44.750.908,44.750.908,24619121.0,24619121.0,44750908.0,44750908.0
Bảo hiểm y tế,Bảo hiểm y tế,Bảo hiểm y tế,322.976.494,322.976.494,6.349.020,6.349.020,322976494.0,322976494.0,6349020.0,6349020.0
Bảo hiểm thất nghiệp,Bảo hiểm thất nghiệp,Bảo hiểm thất nghiệp,6.043.465,6.043.465,-,-,6043465.0,6043465.0,,
"Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",7.839.053.457,7.839.053.457,7.167.450.563,7.167.450.563,7839053457.0,7839053457.0,7167450563.0,7167450563.0
Phải trả do quá hạn hợp đồng (1),Phải trả do quá hạn hợp đồng (1),Phải trả do quá hạn hợp đồng (1),113.459.623.428,113.459.623.428,137.249.639.873,137.249.639.873,113459623428.0,113459623428.0,137249639873.0,137249639873.0
Ngân hàng Thương mại TNHH MTV Đại Dương (2),Ngân hàng Thương mại TNHH MTV Đại Dương (2),Ngân hàng Thương mại TNHH MTV Đại Dương (2),18.631.317.025,18.631.317.025,63.518.492.489,63.518.492.489,18631317025.0,18631317025.0,63518492489.0,63518492489.0
Phải trả Công ty TNHH Pegasus Thắng Long (3),Phải trả Công ty TNHH Pegasus Thắng Long (3),Phải trả Công ty TNHH Pegasus Thắng Long (3),116.042.770.800,116.042.770.800,116.042.770.800,116.042.770.800,116042770800.0,116042770800.0,116042770800.0,116042770800.0
Công ty TNHH VNT (4),Công ty TNHH VNT (4),Công ty TNHH VNT (4),-,-,72.000.000.000,72.000.000.000,,,72000000000.0,72000000000.0
Trung tâm Phát triển Quỹ đất TP. Hạ Long (5),Trung tâm Phát triển Quỹ đất TP. Hạ Long (5),Trung tâm Phát triển Quỹ đất TP. Hạ Long (5),-,-,32.747.730.000,32.747.730.000,,,32747730000.0,32747730000.0
Công ty Cổ phần Đầu tư Lam Hồng (6),Công ty Cổ phần Đầu tư Lam Hồng (6),Công ty Cổ phần Đầu tư Lam Hồng (6),-,-,18.788.834.489,18.788.834.489,,,18788834489.0,18788834489.0
Công ty Cổ phần BSC Việt Nam (7),Công ty Cổ phần BSC Việt Nam (7),Công ty Cổ phần BSC Việt Nam (7),6.131.655.786,6.131.655.786,6.131.655.786,6.131.655.786,6131655786.0,6131655786.0,6131655786.0,6131655786.0
Công ty Tài chính Cổ phần Điện lực (8),Công ty Tài chính Cổ phần Điện lực (8),Công ty Tài chính Cổ phần Điện lực (8),-,-,69.936.515.970,69.936.515.970,,,69936515970.0,69936515970.0
Phải trả khác,Phải trả khác,Phải trả khác,48.232.000.639,48.232.000.639,51.876.815.687,51.876.815.687,48232000639.0,48232000639.0,51876815687.0,51876815687.0
Cộng,Cộng,Cộng,311.676.468.918,311.676.468.918,575.663.375.154,575.663.375.154,311676468918.0,311676468918.0,575663375154.0,575663375154.0
