row_label_raw,row_label_full,Tên công ty,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Địa chỉ trụ sở chính,numeric__Hoạt động kinh doanh chính
Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,"21,00%","21,00%",Bắc Giang,Xây dựng và thu giá dịch vụ sử dụng đường bộ,0.21,0.21,,
Công ty Cổ phần Dịch vụ Hỗ trợ và Phát triển Đầu tư (Công ty liên kết của Công ty Cổ phần One Capital Hospitality),Công ty Cổ phần Dịch vụ Hỗ trợ và Phát triển Đầu tư (Công ty liên kết của Công ty Cổ phần One Capital Hospitality),Công ty Cổ phần Dịch vụ Hỗ trợ và Phát triển Đầu tư (Công ty liên kết của Công ty Cổ phần One Capital Hospitality),"23,70%","49,10%",Quảng Nam,Kinh doanh khách sạn,0.237,0.491,,
