row_label_raw,row_label_full,NGUỒN VỐN,Mã số,TM,31/12/2021,Đơn vị tính: VND01/01/2021,numeric__Mã số,numeric__TM,numeric__31/12/2021,numeric__Đơn vị tính: VND01/01/2021
C/ NỘ PHẢI TRẢ,C/ NỘ PHẢI TRẢ,C/ NỘ PHẢI TRẢ,300,,1.918.894.326.564,2.525.447.088.646,300.0,,1918894326564.0,2525447088646.0
I/ Nợ ngắn hạn,I/ Nợ ngắn hạn,I/ Nợ ngắn hạn,310,,764.392.129.001,1.290.182.099.659,310.0,,764392129001.0,1290182099659.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,5.16,34.103.089.854,40.601.751.029,311.0,516.0,34103089854.0,40601751029.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,5.17,47.237.270.978,267.075.418.467,312.0,517.0,47237270978.0,267075418467.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,5.21,178.612.197.113,187.805.826.564,313.0,521.0,178612197113.0,187805826564.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,9.685.554.122,9.504.265.675,314.0,,9685554122.0,9504265675.0
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,5.18,145.785.921.938,188.754.835.947,315.0,518.0,145785921938.0,188754835947.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,5.19,8.993.897.022,10.967.416.631,318.0,519.0,8993897022.0,10967416631.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,5.20,311.676.468.918,575.663.375.154,319.0,520.0,311676468918.0,575663375154.0
8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,320,,22.070.421.118,-,320.0,,22070421118.0,
9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,321,,3.712.500,3.712.500,321.0,,3712500.0,3712500.0
10. Quỹ khen thưởng phúc lợi,10. Quỹ khen thưởng phúc lợi,10. Quỹ khen thưởng phúc lợi,322,,6.223.595.438,9.805.497.692,322.0,,6223595438.0,9805497692.0
II/ Nợ dài hạn,II/ Nợ dài hạn,II/ Nợ dài hạn,330,,1.154.502.197.563,1.235.264.988.987,330.0,,1154502197563.0,1235264988987.0
1. Phải trả dài hạn người bán,1. Phải trả dài hạn người bán,1. Phải trả dài hạn người bán,331,5.16,3.922.928.954,3.922.928.954,331.0,516.0,3922928954.0,3922928954.0
2. Doanh thu chưa thực hiện dài hạn,2. Doanh thu chưa thực hiện dài hạn,2. Doanh thu chưa thực hiện dài hạn,336,5.19,209.493.463.864,287.428.797.316,336.0,519.0,209493463864.0,287428797316.0
3. Phải trả dài hạn khác,3. Phải trả dài hạn khác,3. Phải trả dài hạn khác,337,5.20,726.665.131.420,727.422.168.274,337.0,520.0,726665131420.0,727422168274.0
