row_label_raw,row_label_full,col_0,31/12/2021 > Giá trị VND,31/12/2021 > Dự phòng VND,01/01/2021 > Giá trị VND,01/01/2021 > Dự phòng VND,numeric__31/12/2021 > Giá trị VND,numeric__31/12/2021 > Dự phòng VND,numeric__01/01/2021 > Giá trị VND,numeric__01/01/2021 > Dự phòng VND
Các bên liên quan,Các bên liên quan,Các bên liên quan,196.796.996,(196.796.996),-,-,196796996.0,-196796996.0,,
Công ty Cổ phần Dịch vụ hỗ trợ và phát triển Đầu tư,Công ty Cổ phần Dịch vụ hỗ trợ và phát triển Đầu tư,Công ty Cổ phần Dịch vụ hỗ trợ và phát triển Đầu tư,196.796.996,(196.796.996),-,-,196796996.0,-196796996.0,,
Các bên khác,Các bên khác,Các bên khác,62.638.991.567,(17.135.940.439),149.614.498.610,(92.796.265.055),62638991567.0,-17135940439.0,149614498610.0,-92796265055.0
Công ty TNHH An Việt Hà Nội (i),Công ty TNHH An Việt Hà Nội (i),Công ty TNHH An Việt Hà Nội (i),12.601.537.206,-,12.600.000.000,-,12601537206.0,,12600000000.0,
Công ty Cổ phần Thương mại Mika,Công ty Cổ phần Thương mại Mika,Công ty Cổ phần Thương mại Mika,6.647.496.885,(6.647.496.885),6.647.496.885,(6.647.496.885),6647496885.0,-6647496885.0,6647496885.0,-6647496885.0
Công ty Cổ phần Robot Tosy (a),Công ty Cổ phần Robot Tosy (a),Công ty Cổ phần Robot Tosy (a),-,-,28.283.010.000,(28.283.010.000),,,28283010000.0,-28283010000.0
Công ty Cổ phần Đầu tư và Xây dựng Sống Đà (a),Công ty Cổ phần Đầu tư và Xây dựng Sống Đà (a),Công ty Cổ phần Đầu tư và Xây dựng Sống Đà (a),-,-,20.635.963.722,(20.635.963.722),,,20635963722.0,-20635963722.0
Công ty Cổ phần Đầu tư Xây dựng và Kinh doanh Nhà,Công ty Cổ phần Đầu tư Xây dựng và Kinh doanh Nhà,Công ty Cổ phần Đầu tư Xây dựng và Kinh doanh Nhà,12.015.448.545,-,12.015.448.545,-,12015448545.0,,12015448545.0,
Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,31.374.508.931,(10.488.443.554),69.432.579.458,(37.229.794.448),31374508931.0,-10488443554.0,69432579458.0,-37229794448.0
Cộng,Cộng,Cộng,62.835.788.563,(17.332.737.435),149.614.498.610,(92.796.265.055),62835788563.0,-17332737435.0,149614498610.0,-92796265055.0
