row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc VND","Máy móc, thiết bị VND","Phương tiện vận tải, truyền dẫn VND","Thiết bị, dụng cụ quản lý VND",TSCĐ khác VND,Tổng cộng VND,"numeric__Nhà cửa, vật kiến trúc VND","numeric__Máy móc, thiết bị VND","numeric__Phương tiện vận tải, truyền dẫn VND","numeric__Thiết bị, dụng cụ quản lý VND",numeric__TSCĐ khác VND,numeric__Tổng cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư tại 01/01/2021,NGUYÊN GIÁ > Số dư tại 01/01/2021,Số dư tại 01/01/2021,823.305.746.290,154.227.092.910,31.834.751.213,876.093.810,7.991.333.484,1.018.235.017.707,823305746290.0,154227092910.0,31834751213.0,876093810.0,7991333484.0,1018235017707.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,5.676.882.773,2.841.215.454,-,106.000.909,8.624.099.136,,5676882773.0,2841215454.0,,106000909.0,8624099136.0
Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,(100.066.336.457),68.666.428.514,1.869.851.679,298.593.040,4.908.584.503,(24.322.878.721),-100066336457.0,68666428514.0,1869851679.0,298593040.0,4908584503.0,-24322878721.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(5.347.055.759),(2.302.783.580),-,-,-,(7.649.839.339),-5347055759.0,-2302783580.0,,,,-7649839339.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,-,(800),-,-,-,(800),,-800.0,,,,-800.0
Số dư tại 31/12/2021,NGUYÊN GIÁ > Số dư tại 31/12/2021,Số dư tại 31/12/2021,717.892.354.074,226.267.619.817,36.545.818.346,1.174.686.850,13.005.918.896,994.886.397.983,717892354074.0,226267619817.0,36545818346.0,1174686850.0,13005918896.0,994886397983.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,,,,
Số dư tại 01/01/2021,GIÁ TRỊ HAO MÒN > Số dư tại 01/01/2021,Số dư tại 01/01/2021,185.524.327.183,108.219.748.783,18.951.338.429,739.806.141,6.551.912.390,319.987.132.926,185524327183.0,108219748783.0,18951338429.0,739806141.0,6551912390.0,319987132926.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN > Khấu hao trong năm,Khấu hao trong năm,16.799.129.693,16.569.805.315,3.608.837.600,126.497.149,4.015.191.950,41.119.461.707,16799129693.0,16569805315.0,3608837600.0,126497149.0,4015191950.0,41119461707.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.147.118.835),(2.302.783.580),-,-,-,(6.449.902.415),-4147118835.0,-2302783580.0,,,,-6449902415.0
Số dư tại 31/12/2021,GIÁ TRỊ HAO MÒN > Số dư tại 31/12/2021,Số dư tại 31/12/2021,198.176.338.041,122.486.770.518,22.560.176.029,866.303.290,10.567.104.340,354.656.692.218,198176338041.0,122486770518.0,22560176029.0,866303290.0,10567104340.0,354656692218.0
GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,,,,,,
Số dư tại 01/01/2021,GIÁ TRỊ CÔN LẠI > Số dư tại 01/01/2021,Số dư tại 01/01/2021,637.781.419.107,46.007.344.127,12.883.412.784,136.287.669,1.439.421.094,698.247.884.781,637781419107.0,46007344127.0,12883412784.0,136287669.0,1439421094.0,698247884781.0
Số dư tại 31/12/2021,GIÁ TRỊ CÔN LẠI > Số dư tại 31/12/2021,Số dư tại 31/12/2021,519.716.016.033,103.780.849.299,13.985.642.317,308.383.560,2.438.814.556,640.229.705.765,519716016033.0,103780849299.0,13985642317.0,308383560.0,2438814556.0,640229705765.0
