row_label_raw,row_label_full,col_0,31/12/2021 > Giá gốc VND,31/12/2021 > Giá trị ghi số VND,31/12/2021 > Giá gốc VND_1,01/01/2021 > Giá trị ghi số VND,01/01/2021,01/01/2021_1,numeric__31/12/2021 > Giá gốc VND,numeric__31/12/2021 > Giá trị ghi số VND,numeric__31/12/2021 > Giá gốc VND_1,numeric__01/01/2021 > Giá trị ghi số VND,numeric__01/01/2021,numeric__01/01/2021_1
Ngắn hạn,Ngắn hạn,Ngắn hạn,246.530.000.000,246.530.000.000,210.362.849.315,210.362.849.315,,,246530000000.0,246530000000.0,210362849315.0,210362849315.0,,
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,246.530.000.000,246.530.000.000,210.362.849.315,210.362.849.315,,,246530000000.0,246530000000.0,210362849315.0,210362849315.0,,
Cộng,Cộng,Cộng,246.530.000.000,246.530.000.000,210.362.849.315,210.362.849.315,,,246530000000.0,246530000000.0,210362849315.0,210362849315.0,,
5.15 Đầu tư tài chính dài hạn,5.15 Đầu tư tài chính dài hạn,5.15 Đầu tư tài chính dài hạn,5.15 Đầu tư tài chính dài hạn,5.15 Đầu tư tài chính dài hạn,5.15 Đầu tư tài chính dài hạn,5.15 Đầu tư tài chính dài hạn,5.15 Đầu tư tài chính dài hạn,5.15 Đầu tư tài chính dài hạn,,,,,,
5.15.1 Đầu tư vào các công ty liên kết và đơn vị khác,5.15.1 Đầu tư vào các công ty liên kết và đơn vị khác,5.15.1 Đầu tư vào các công ty liên kết và đơn vị khác,5.15.1 Đầu tư vào các công ty liên kết và đơn vị khác,5.15.1 Đầu tư vào các công ty liên kết và đơn vị khác,5.15.1 Đầu tư vào các công ty liên kết và đơn vị khác,5.15.1 Đầu tư vào các công ty liên kết và đơn vị khác,5.15.1 Đầu tư vào các công ty liên kết và đơn vị khác,5.15.1 Đầu tư vào các công ty liên kết và đơn vị khác,,,,,,
,,,31/12/2021,31/12/2021,31/12/2021,01/01/2021,01/01/2021,01/01/2021,,,,,,
,,,Giá trị ghi số VND,Giá trị theo phương pháp vốn chủ sở hữu VND,Giá hợp lý (i) VND,Giá trị ghi số VND,Giá trị theo phương pháp vốn chủ sở hữu VND,Giá hợp lý (i) VND,,,,,,
Đầu tư vào công ty liên kết,5.15.1 Đầu tư vào các công ty liên kết và đơn vị khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,193.029.147.484,142.442.751.748,,193.029.147.484,133.797.746.317,,193029147484.0,142442751748.0,,193029147484.0,133797746317.0,
Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang (*),5.15.1 Đầu tư vào các công ty liên kết và đơn vị khác > Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang (*),Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang (*),104.228.000.000,142.442.751.748,,104.228.000.000,133.797.746.317,,104228000000.0,142442751748.0,,104228000000.0,133797746317.0,
Công ty Cổ phần dịch vụ Hỗ trợ và Phát triển Đầu tư,5.15.1 Đầu tư vào các công ty liên kết và đơn vị khác > Công ty Cổ phần dịch vụ Hỗ trợ và Phát triển Đầu tư,Công ty Cổ phần dịch vụ Hỗ trợ và Phát triển Đầu tư,88.801.147.484,-,,88.801.147.484,-,,88801147484.0,,,88801147484.0,,
Cộng,5.15.1 Đầu tư vào các công ty liên kết và đơn vị khác > Cộng,Cộng,193.029.147.484,142.442.751.748,,193.029.147.484,133.797.746.317,,193029147484.0,142442751748.0,,193029147484.0,133797746317.0,
