row_label_raw,row_label_full,Họ và tên,Chức danh,Năm 2021,Năm 2020,numeric__Chức danh,numeric__Năm 2021,numeric__Năm 2020
Họ và tên,Họ và tên,Họ và tên,Chức danh,VND,VND,,,
Thù lao của Hội đồng Quản trị,Thù lao của Hội đồng Quản trị,Thù lao của Hội đồng Quản trị,Thù lao của Hội đồng Quản trị,Thù lao của Hội đồng Quản trị,Thù lao của Hội đồng Quản trị,,,
Ông Mai Hữu Đạt,Thù lao của Hội đồng Quản trị > Ông Mai Hữu Đạt,Ông Mai Hữu Đạt,Chủ tịch HĐQT,1.180.000.000,1.140.000.000,,1180000000.0,1140000000.0
Ông Nguyễn Thành Trung,Thù lao của Hội đồng Quản trị > Ông Nguyễn Thành Trung,Ông Nguyễn Thành Trung,Phó Chủ tịch HĐQT,590.000.000,570.000.000,,590000000.0,570000000.0
Bà Nguyễn Thị Lan Hương,Thù lao của Hội đồng Quản trị > Bà Nguyễn Thị Lan Hương,Bà Nguyễn Thị Lan Hương,Thành viên,354.000.000,342.000.000,,354000000.0,342000000.0
Bà Nguyễn Mai Phương,Thù lao của Hội đồng Quản trị > Bà Nguyễn Mai Phương,Bà Nguyễn Mai Phương,Thành viên,354.000.000,342.000.000,,354000000.0,342000000.0
Ông Bùi Anh Sang,Thù lao của Hội đồng Quản trị > Ông Bùi Anh Sang,Ông Bùi Anh Sang,Thành viên,354.000.000,342.000.000,,354000000.0,342000000.0
Tổng,Thù lao của Hội đồng Quản trị > Tổng,Tổng,,2.832.000.000,2.736.000.000,,2832000000.0,2736000000.0
Thù lao Thành viên Ban Kiểm soát,Thù lao Thành viên Ban Kiểm soát,Thù lao Thành viên Ban Kiểm soát,Thù lao Thành viên Ban Kiểm soát,Thù lao Thành viên Ban Kiểm soát,Thù lao Thành viên Ban Kiểm soát,,,
Bà Nguyễn Hương Nga,Thù lao Thành viên Ban Kiểm soát > Bà Nguyễn Hương Nga,Bà Nguyễn Hương Nga,Trường ban,236.000.000,240.000.000,,236000000.0,240000000.0
Ông Nguyễn Thanh Tùng,Thù lao Thành viên Ban Kiểm soát > Ông Nguyễn Thanh Tùng,Ông Nguyễn Thanh Tùng,Thành viên,118.000.000,166.666.600,,118000000.0,166666600.0
Bà Bùi Diệu Út Hường,Thù lao Thành viên Ban Kiểm soát > Bà Bùi Diệu Út Hường,Bà Bùi Diệu Út Hường,Thành viên,118.000.000,120.000.000,,118000000.0,120000000.0
Tổng,Thù lao Thành viên Ban Kiểm soát > Tổng,Tổng,,472.000.000,526.666.600,,472000000.0,526666600.0
Tiền lương của TGD và người quản lý khác,Tiền lương của TGD và người quản lý khác,Tiền lương của TGD và người quản lý khác,Tiền lương của TGD và người quản lý khác,Tiền lương của TGD và người quản lý khác,Tiền lương của TGD và người quản lý khác,,,
Ông Lò Hồng Hiệp,Tiền lương của TGD và người quản lý khác > Ông Lò Hồng Hiệp,Ông Lò Hồng Hiệp,Tổng Giám đốc,1.168.000.000,1.089.000.000,,1168000000.0,1089000000.0
Ông Nguyễn Giang Nam,Tiền lương của TGD và người quản lý khác > Ông Nguyễn Giang Nam,Ông Nguyễn Giang Nam,Phó Tổng Giám đốc,912.800.000,354.000.000,,912800000.0,354000000.0
Bà Nguyễn Thị Dung,Tiền lương của TGD và người quản lý khác > Bà Nguyễn Thị Dung,Bà Nguyễn Thị Dung,Phó Tổng Giám đốc,291.000.000,559.928.600,,291000000.0,559928600.0
Ông Nguyễn Quang Thành,Tiền lương của TGD và người quản lý khác > Ông Nguyễn Quang Thành,Ông Nguyễn Quang Thành,Phó Tổng Giám đốc,-,381.782.700,,,381782700.0
Tổng,Tiền lương của TGD và người quản lý khác > Tổng,Tổng,,2.371.800.000,2.384.711.300,,2371800000.0,2384711300.0
