row_label_raw,row_label_full,col_0,"Quyền sử dụng đất, Quyền đầu tư dự án VND",Chương trình phần mềm VND,Tổng cộng VND,"numeric__Quyền sử dụng đất, Quyền đầu tư dự án VND",numeric__Chương trình phần mềm VND,numeric__Tổng cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư tại 01/01/2021,NGUYÊN GIÁ > Số dư tại 01/01/2021,Số dư tại 01/01/2021,70.000.000.000,3.226.571.231,73.226.571.231,70000000000.0,3226571231.0,73226571231.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,399.065.000,399.065.000,,399065000.0,399065000.0
Số dư tại 31/12/2021,NGUYÊN GIÁ > Số dư tại 31/12/2021,Số dư tại 31/12/2021,70.000.000.000,3.625.636.231,73.625.636.231,70000000000.0,3625636231.0,73625636231.0
GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,,,
Số dư tại 01/01/2021,GIÁ TRỊ HAO MÔN > Số dư tại 01/01/2021,Số dư tại 01/01/2021,8.860.759.498,2.063.613.999,10.924.373.497,8860759498.0,2063613999.0,10924373497.0
Khấu hao trong năm,GIÁ TRỊ HAO MÔN > Khấu hao trong năm,Khấu hao trong năm,1.772.151.900,360.716.453,2.132.868.353,1772151900.0,360716453.0,2132868353.0
Số dư tại 31/12/2021,GIÁ TRỊ HAO MÔN > Số dư tại 31/12/2021,Số dư tại 31/12/2021,10.632.911.398,2.424.330.452,13.057.241.850,10632911398.0,2424330452.0,13057241850.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Số dư tại 01/01/2021,GIÁ TRỊ CÒN LẠI > Số dư tại 01/01/2021,Số dư tại 01/01/2021,61.139.240.502,1.162.957.232,62.302.197.734,61139240502.0,1162957232.0,62302197734.0
Số dư tại 31/12/2021,GIÁ TRỊ CÒN LẠI > Số dư tại 31/12/2021,Số dư tại 31/12/2021,59.367.088.602,1.201.305.779,60.568.394.381,59367088602.0,1201305779.0,60568394381.0
