row_label_raw,row_label_full,col_0,31/12/2021 > Giá trịVND,31/12/2021 > Số có khà năng trả nợVND,01/01/2021 > Giá trịVND,01/01/2021 > Số có khà năng trả nợVND,numeric__31/12/2021 > Giá trịVND,numeric__31/12/2021 > Số có khà năng trả nợVND,numeric__01/01/2021 > Giá trịVND,numeric__01/01/2021 > Số có khà năng trả nợVND
Các bên khác,Các bên khác,Các bên khác,726.665.131.420,726.665.131.420,727.422.168.274,727.422.168.274,726665131420.0,726665131420.0,727422168274.0,727422168274.0
Lãi vay phải trả Ngân hàng Thương mại TNHH MTV Đại Dương (2),Lãi vay phải trả Ngân hàng Thương mại TNHH MTV Đại Dương (2),Lãi vay phải trả Ngân hàng Thương mại TNHH MTV Đại Dương (2),172.523.776.412,172.523.776.412,171.193.068.771,171.193.068.771,172523776412.0,172523776412.0,171193068771.0,171193068771.0
Công ty CP Đầu tư Nông nghiệp Công nghệ cao Hà Nội (9),Công ty CP Đầu tư Nông nghiệp Công nghệ cao Hà Nội (9),Công ty CP Đầu tư Nông nghiệp Công nghệ cao Hà Nội (9),220.500.000.000,220.500.000.000,220.500.000.000,220.500.000.000,220500000000.0,220500000000.0,220500000000.0,220500000000.0
Công ty CP Giáo dục và Quốc tế Thần Đồng (10),Công ty CP Giáo dục và Quốc tế Thần Đồng (10),Công ty CP Giáo dục và Quốc tế Thần Đồng (10),200.000.000.000,200.000.000.000,200.000.000.000,200.000.000.000,200000000000.0,200000000000.0,200000000000.0,200000000000.0
Công ty TNHH Gió Hát (11),Công ty TNHH Gió Hát (11),Công ty TNHH Gió Hát (11),70.067.483.056,70.067.483.056,70.067.483.056,70.067.483.056,70067483056.0,70067483056.0,70067483056.0,70067483056.0
Ngân hàng TMCP,Ngân hàng TMCP,Ngân hàng TMCP,33.393.653.218,33.393.653.218,37.397.910.222,37.397.910.222,33393653218.0,33393653218.0,37397910222.0,37397910222.0
Quốc Dân (NCB) (12),Quốc Dân (NCB) (12),Quốc Dân (NCB) (12),,,,,,,,
Công ty CP Thương mại và Đầu tư Mạnh Hà (13),Quốc Dân (NCB) (12) > Công ty CP Thương mại và Đầu tư Mạnh Hà (13),Công ty CP Thương mại và Đầu tư Mạnh Hà (13),23.373.788.160,23.373.788.160,23.373.788.160,23.373.788.160,23373788160.0,23373788160.0,23373788160.0,23373788160.0
Phải trả khác,Quốc Dân (NCB) (12) > Phải trả khác,Phải trả khác,6.806.430.574,6.806.430.574,4.889.918.065,4.889.918.065,6806430574.0,6806430574.0,4889918065.0,4889918065.0
Cộng,Quốc Dân (NCB) (12) > Cộng,Cộng,726.665.131.420,726.665.131.420,727.422.168.274,727.422.168.274,726665131420.0,726665131420.0,727422168274.0,727422168274.0
