row_label_raw,row_label_full,col_0,Chỉ tiêu,MS,Năm 2021,Đơn vị tính: VNDNăm 2020,numeric__Chỉ tiêu,numeric__MS,numeric__Năm 2021,numeric__Đơn vị tính: VNDNăm 2020
I.,I.,I.,Lưu chuyển tiền từ hoạt động kinh doanh,,,,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,(276.107.820.195),216.442.715.432,,1.0,-276107820195.0,216442715432.0
2.,2.,2.,Điều chỉnh cho các khoản,,,,,,,
-,2. > -,-,Khấu hao TSCĐ và BĐSĐT,02,78.945.569.598,63.139.379.070,,2.0,78945569598.0,63139379070.0
-,2. > -,-,Các khoản dự phòng,03,298.644.377.712,118.786.008.661,,3.0,298644377712.0,118786008661.0
-,2. > -,-,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,20.184.913,119.674.777,,4.0,20184913.0,119674777.0
-,2. > -,-,"Lãi, lỗ từ hoạt động đầu tư",05,(14.916.409.861),(285.284.649.033),,5.0,-14916409861.0,-285284649033.0
-,2. > -,-,Chi phí lãi vay,06,13.706.970.013,28.696.533.102,,6.0,13706970013.0,28696533102.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi,08,100.292.872.180,141.899.662.009,,8.0,100292872180.0,141899662009.0
-,2. > -,-,"Tăng, giảm các khoản phải thu",09,441.404.974.910,(24.060.028.062),,9.0,441404974910.0,-24060028062.0
-,2. > -,-,"Tăng, giảm hàng tồn kho",10,(20.056.508.007),15.006.325.644,,10.0,-20056508007.0,15006325644.0
-,2. > -,-,"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế TNDN phải nộp)",11,(639.571.265.699),23.679.863.176,,11.0,-639571265699.0,23679863176.0
-,2. > -,-,"Tăng, giảm chi phí trả trước",12,24.718.583.343,(10.167.064.192),,12.0,24718583343.0,-10167064192.0
-,2. > -,-,Tăng giảm chứng khoán kinh doanh,13,12.541.001.503,(47.316.417.100),,13.0,12541001503.0,-47316417100.0
-,2. > -,-,Tiền lãi vay đã trả,14,(12.868.581.631),(20.826.051.019),,14.0,-12868581631.0,-20826051019.0
-,2. > -,-,Thuế TNDN đã nộp,15,(6.727.215.767),(34.135.934.876),,15.0,-6727215767.0,-34135934876.0
-,2. > -,-,Tiền chi khác cho hoạt động kinh doanh,17,(9.678.860.726),(2.221.606.532),,17.0,-9678860726.0,-2221606532.0
-,2. > -,-,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,(109.944.999.894),41.858.749.047,,20.0,-109944999894.0,41858749047.0
II.,II.,II.,Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,
1.,II. > 1.,1.,"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,(9.023.164.136),(89.056.907.193),,21.0,-9023164136.0,-89056907193.0
2.,II. > 2.,2.,"Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,177.881.820,27.407.396.058,,22.0,177881820.0,27407396058.0
3.,II. > 3.,3.,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,(80.530.019.657),(192.581.698.630),,23.0,-80530019657.0,-192581698630.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",24,44.363.868.972,186.662.849.315,,24.0,44363868972.0,186662849315.0
5.,II. > 5.,5.,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,-,71.815.949.806,,26.0,,71815949806.0
6.,II. > 6.,6.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,16.101.185.986,25.839.067.350,,27.0,16101185986.0,25839067350.0
6.,II. > 6.,6.,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(28.910.247.015),30.086.656.707,,30.0,-28910247015.0,30086656707.0
III.,III.,III.,Lưu chuyển tiền từ hoạt động tài chính,,,,,,,
1.,III. > 1.,1.,Tiền thu từ đi vay,33,20.000.000.000,-,,33.0,20000000000.0,
2.,III. > 2.,2.,Tiền trả nợ gốc vay,34,-,(6.700.693.893),,34.0,,-6700693893.0
3.,III. > 3.,3.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,-,(264.009.569),,36.0,,-264009569.0
3.,III. > 3.,3.,Lưu chuyển tiền thuần từ hoạt động tài chính,40,20.000.000.000,(6.964.703.462),,40.0,20000000000.0,-6964703462.0
3.,III. > 3.,3.,Lưu chuyển tiền thuần trong kỳ,50,(118.855.246.909),64.980.702.292,,50.0,-118855246909.0,64980702292.0
3.,III. > 3.,3.,Tiền và tương đương tiền đầu kỳ,60,288.488.166.924,223.627.139.409,,60.0,288488166924.0,223627139409.0
3.,III. > 3.,3.,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,(20.184.913),(119.674.777),,61.0,-20184913.0,-119674777.0
3.,III. > 3.,3.,Tiền và tương đương tiền cuối kỳ,70,169.612.735.102,288.488.166.924,,70.0,169612735102.0,288488166924.0
