row_label_raw,row_label_full,Chỉ tiêu,Mã số,TM,Năm 2021,Đơn vị tính: VNDNăm 2020,numeric__Mã số,numeric__TM,numeric__Năm 2021,numeric__Đơn vị tính: VNDNăm 2020
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,6.1,416.463.807.679,907.778.452.548,1.0,61.0,416463807679.0,907778452548.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,6.2,7.186.536.132,4.233.675.168,2.0,62.0,7186536132.0,4233675168.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,409.277.271.547,903.544.777.380,10.0,,409277271547.0,903544777380.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,6.3,411.021.299.589,524.952.667.869,11.0,63.0,411021299589.0,524952667869.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,(1.744.028.042),378.592.109.511,20.0,,-1744028042.0,378592109511.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,6.4,21.426.362.042,284.224.146.313,21.0,64.0,21426362042.0,284224146313.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,6.5,(36.912.933),39.954.772.492,22.0,65.0,-36912933.0,39954772492.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,13.706.970.013,28.696.533.102,23.0,,13706970013.0,28696533102.0
"8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,9.653.369.920,4.713.857.367,24.0,,9653369920.0,4713857367.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,6.6,77.126.884.709,156.534.116.800,25.0,66.0,77126884709.0,156534116800.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,6.7,289.881.319.252,241.731.572.664,26.0,67.0,289881319252.0,241731572664.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,30,,(337.635.587.108),229.309.651.235,30.0,,-337635587108.0,229309651235.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,6.8,89.071.219.426,993.927.007,31.0,68.0,89071219426.0,993927007.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,6.9,27.543.452.513,13.860.862.810,32.0,69.0,27543452513.0,13860862810.0
14. Lợi nhuận khác,14. Lợi nhuận khác,14. Lợi nhuận khác,40,,61.527.766.913,(12.866.935.803),40.0,,61527766913.0,-12866935803.0
15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,50,,(276.107.820.195),216.442.715.432,50.0,,-276107820195.0,216442715432.0
16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,51,6.10,3.917.900.918,35.514.287.356,51.0,610.0,3917900918.0,35514287356.0
17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,52,,3.190.628,(24.027.560.069),52.0,,3190628.0,-24027560069.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,(280.028.911.741),204.955.988.145,60.0,,-280028911741.0,204955988145.0
- LNST của cổ đông của công ty mẹ,- LNST của cổ đông của công ty mẹ,- LNST của cổ đông của công ty mẹ,61,,(75.970.035.710),111.310.408.273,61.0,,-75970035710.0,111310408273.0
- LNST của cổ đông không kiểm soát,- LNST của cổ đông không kiểm soát,- LNST của cổ đông không kiểm soát,62,,(204.058.876.031),93.645.579.872,62.0,,-204058876031.0,93645579872.0
19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,70,6.11,(253),371,70.0,611.0,-253.0,371.0
20. Lãi suy giảm trên cổ phiếu,20. Lãi suy giảm trên cổ phiếu,20. Lãi suy giảm trên cổ phiếu,71,6.11,(253),371,71.0,611.0,-253.0,371.0
