row_label_raw,row_label_full,col_0,Quyềnsử dụng đất,Phần mềmmáy tính,TSCDvô hình khác,Tổng cộng,numeric__Quyềnsử dụng đất,numeric__Phần mềmmáy tính,numeric__TSCDvô hình khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày ngày đầu năm,Nguyên giá > Tại ngày ngày đầu năm,Tại ngày ngày đầu năm,68.461.409.916,2.255.131.200,213.180.000,70.929.721.116,68461409916.0,2255131200.0,213180000.0,70929721116.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,259.122.000,-,259.122.000,,259122000.0,,259122000.0
- Giảm khác (i),Nguyên giá > - Giảm khác (i),- Giảm khác (i),(22.597.120.000),-,(213.180.000),(22.810.300.000),-22597120000.0,,-213180000.0,-22810300000.0
Tại ngày ngày cuối năm,Nguyên giá > Tại ngày ngày cuối năm,Tại ngày ngày cuối năm,45.864.289.916,2.514.253.200,-,48.378.543.116,45864289916.0,2514253200.0,,48378543116.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Tại ngày ngày đầu năm,Giá trị hao mòn lũy kế > Tại ngày ngày đầu năm,Tại ngày ngày đầu năm,8.353.310.735,2.130.184.417,136.922.500,10.620.417.652,8353310735.0,2130184417.0,136922500.0,10620417652.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,1.366.871.801,97.726.898,39.336.000,1.503.934.699,1366871801.0,97726898.0,39336000.0,1503934699.0
- Giảm khác (i),Giá trị hao mòn lũy kế > - Giảm khác (i),- Giảm khác (i),(2.887.162.335),-,(176.258.500),(3.063.420.835),-2887162335.0,,-176258500.0,-3063420835.0
Tại ngày ngày cuối năm,Giá trị hao mòn lũy kế > Tại ngày ngày cuối năm,Tại ngày ngày cuối năm,6.833.020.201,2.227.911.315,-,9.060.931.516,6833020201.0,2227911315.0,,9060931516.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày ngày đầu năm,Giá trị còn lại > Tại ngày ngày đầu năm,Tại ngày ngày đầu năm,60.108.099.181,124.946.783,76.257.500,60.309.303.464,60108099181.0,124946783.0,76257500.0,60309303464.0
Tại ngày ngày cuối năm,Giá trị còn lại > Tại ngày ngày cuối năm,Tại ngày ngày cuối năm,39.031.269.715,286.341.885,-,39.317.611.600,39031269715.0,286341885.0,,39317611600.0
