row_label_raw,row_label_full,Cổ đông,Số cổ phần,Vốn góp (VND),Tỷ lệ (%),numeric__Số cổ phần,numeric__Vốn góp (VND),numeric__Tỷ lệ (%)
Công ty cổ phần đầu tư và thương mại xuất nhập khẩu HFC Việt Nam,Công ty cổ phần đầu tư và thương mại xuất nhập khẩu HFC Việt Nam,Công ty cổ phần đầu tư và thương mại xuất nhập khẩu HFC Việt Nam,30.405.281,304.052.810.000,"16,87%",30405281.0,304052810000.0,0.16870000000000002
Ông Đỗ Văn Trắc,Ông Đỗ Văn Trắc,Ông Đỗ Văn Trắc,9.060.467,90.604.670.000,"5,03%",9060467.0,90604670000.0,0.050300000000000004
Cổ đông khác,Cổ đông khác,Cổ đông khác,140.769.588,1.407.695.880.000,"78,10%",140769588.0,1407695880000.0,0.7809999999999999
Cộng,Cộng,Cộng,180.235.336,1.802.353.360.000,"100,00%",180235336.0,1802353360000.0,1.0
