row_label_raw,row_label_full,col_0,Cáp và vật liệuviễn thôngVND,Xây dựng vàkinh doanh bất động sảnVND,Đầu tư tài chínhvà các lĩnh vực khácVND,Điều chỉnh và loại trừVND,Tổng cộngVND,numeric__Cáp và vật liệuviễn thôngVND,numeric__Xây dựng vàkinh doanh bất động sảnVND,numeric__Đầu tư tài chínhvà các lĩnh vực khácVND,numeric__Điều chỉnh và loại trừVND,numeric__Tổng cộngVND
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Doanh thu,Năm nay > Doanh thu,Doanh thu,1.461.601.526.513,362.690.494.433,3.576.390.250,(2.186.621.755),1.825.681.789.441,1461601526513.0,362690494433.0,3576390250.0,-2186621755.0,1825681789441.0
- Doanh thu bên ngoài,Năm nay > - Doanh thu bên ngoài,- Doanh thu bên ngoài,1.461.601.526.513,360.933.020.930,3.147.241.998,-,1.825.681.789.441,1461601526513.0,360933020930.0,3147241998.0,,1825681789441.0
- Doanh thu nội bộ,Năm nay > - Doanh thu nội bộ,- Doanh thu nội bộ,-,1.757.473.503,429.148.252,(2.186.621.755),-,,1757473503.0,429148252.0,-2186621755.0,
Giá vốn,Năm nay > Giá vốn,Giá vốn,(1.357.087.848.496),(338.889.654.710),(441.635.848),5.481.269.014,(1.690.937.870.040),-1357087848496.0,-338889654710.0,-441635848.0,5481269014.0,-1690937870040.0
- Giá vốn bên ngoài,Năm nay > - Giá vốn bên ngoài,- Giá vốn bên ngoài,(1.357.087.848.496),(333.408.385.696),(441.635.848),-,(1.690.937.870.040),-1357087848496.0,-333408385696.0,-441635848.0,,-1690937870040.0
- Giá vốn nội bộ,Năm nay > - Giá vốn nội bộ,- Giá vốn nội bộ,-,(5.481.269.014),-,5.481.269.014,-,,-5481269014.0,,5481269014.0,
Lợi nhuận gộp,Năm nay > Lợi nhuận gộp,Lợi nhuận gộp,104.513.678.017,23.800.839.723,3.134.754.402,3.294.647.259,134.743.919.401,104513678017.0,23800839723.0,3134754402.0,3294647259.0,134743919401.0
Doanh thu tài chính,Năm nay > Doanh thu tài chính,Doanh thu tài chính,3.719.072.290,34.483.568.948,112.739.766.562,(85.807.589.761),65.134.818.039,3719072290.0,34483568948.0,112739766562.0,-85807589761.0,65134818039.0
- Doanh thu tài chính bên ngoài,Năm nay > - Doanh thu tài chính bên ngoài,- Doanh thu tài chính bên ngoài,1.823.908.956,499.835.060,62.811.074.023,-,65.134.818.039,1823908956.0,499835060.0,62811074023.0,,65134818039.0
- Doanh thu tài chính nội bộ,Năm nay > - Doanh thu tài chính nội bộ,- Doanh thu tài chính nội bộ,1.895.163.334,33.983.733.888,49.928.692.539,(85.807.589.761),-,1895163334.0,33983733888.0,49928692539.0,-85807589761.0,
Chi phí tài chính,Năm nay > Chi phí tài chính,Chi phí tài chính,(22.956.789.160),(37.880.342.364),(67.323.410.375),62.051.938.675,(66.108.603.224),-22956789160.0,-37880342364.0,-67323410375.0,62051938675.0,-66108603224.0
- Chi phí tài chính bên ngoài,Năm nay > - Chi phí tài chính bên ngoài,- Chi phí tài chính bên ngoài,(22.956.789.160),(37.263.234.762),(5.888.579.302),-,(66.108.603.224),-22956789160.0,-37263234762.0,-5888579302.0,,-66108603224.0
- Chi phí tài chính nội bộ,Năm nay > - Chi phí tài chính nội bộ,- Chi phí tài chính nội bộ,-,(617.107.602),(61.434.831.073),62.051.938.675,-,,-617107602.0,-61434831073.0,62051938675.0,
Phần lãi trong công ty liên kết,Năm nay > Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,-,-,551.366.669,-,551.366.669,,,551366669.0,,551366669.0
