row_label_raw,row_label_full,col_0,col_1,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,LNST thuê chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__col_1,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__LNST thuê chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư tại ngày 01/01/2015,Số dư tại ngày 01/01/2015,Số dư tại ngày 01/01/2015,Số dư tại ngày 01/01/2015,1.307.984.320.000,901.532.493.943,155.554.181.016,68.347.038.376,42.300.999.872,2.475.719.033.207,,1307984320000.0,901532493943.0,155554181016.0,68347038376.0,42300999872.0,2475719033207.0
Tăng vốn điều lệ từ thẳng dư vốn cổ phần,Tăng vốn điều lệ từ thẳng dư vốn cổ phần,Tăng vốn điều lệ từ thẳng dư vốn cổ phần,Tăng vốn điều lệ từ thẳng dư vốn cổ phần,494.369.040.000,(494.369.040.000),-,-,-,-,,494369040000.0,-494369040000.0,,,,
Phí tăng vốn điều lệ và chi trả cổ phiếu lẻ,Phí tăng vốn điều lệ và chi trả cổ phiếu lẻ,Phí tăng vốn điều lệ và chi trả cổ phiếu lẻ,Phí tăng vốn điều lệ và chi trả cổ phiếu lẻ,-,(220.004.000),-,-,-,(220.004.000),,,-220004000.0,,,,-220004000.0
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,(211.689.699),-,(211.689.699),,,,,-211689699.0,,-211689699.0
Chia cổ tức từ lợi nhuận 2014,Chia cổ tức từ lợi nhuận 2014,Chia cổ tức từ lợi nhuận 2014,Chia cổ tức từ lợi nhuận 2014,-,-,-,(69.274.572.575),-,(69.274.572.575),,,,,-69274572575.0,,-69274572575.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,56.804.057.945,(2.050.035.056),54.754.022.889,,,,,56804057945.0,-2050035056.0,54754022889.0
Tăng khác,Tăng khác,Tăng khác,Tăng khác,-,-,(3.773.533),(4.027.142),1.839.407.674,1.831.606.999,,,,-3773533.0,-4027142.0,1839407674.0,1831606999.0
Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,1.802.353.360.000,406.943.449.943,155.550.407.483,55.660.806.905,42.090.372.490,2.462.598.396.821,,1802353360000.0,406943449943.0,155550407483.0,55660806905.0,42090372490.0,2462598396821.0
Các khoản điều chỉnh hồi tố,Các khoản điều chỉnh hồi tố,Các khoản điều chỉnh hồi tố,Các khoản điều chỉnh hồi tố,Các khoản điều chỉnh hồi tố,Các khoản điều chỉnh hồi tố,Các khoản điều chỉnh hồi tố,Các khoản điều chỉnh hồi tố,Các khoản điều chỉnh hồi tố,Các khoản điều chỉnh hồi tố,,,,,,,
Điều chỉnh hồi tố doanh thu thể hội viên golf,Các khoản điều chỉnh hồi tố > Điều chỉnh hồi tố doanh thu thể hội viên golf,Điều chỉnh hồi tố doanh thu thể hội viên golf,(i),-,-,-,(2.471.066.319),-,(2.471.066.319),,,,,-2471066319.0,,-2471066319.0
Hoàn nhập khấu hao,Các khoản điều chỉnh hồi tố > Hoàn nhập khấu hao,Hoàn nhập khấu hao,(ii),-,-,-,2.551.904.620,3.890.559,2.555.795.179,,,,,2551904620.0,3890559.0,2555795179.0
Số dư tại ngày 31/12/2015(Sau điều chỉnh),Các khoản điều chỉnh hồi tố > Số dư tại ngày 31/12/2015(Sau điều chỉnh),Số dư tại ngày 31/12/2015(Sau điều chỉnh),Số dư tại ngày 31/12/2015(Sau điều chỉnh),1.802.353.360.000,406.943.449.943,155.550.407.483,55.741.645.206,42.094.263.049,2.462.683.125.681,,1802353360000.0,406943449943.0,155550407483.0,55741645206.0,42094263049.0,2462683125681.0
