row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Nhà cửa, vật kiến trúc",Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Nhà cửa, vật kiến trúc",numeric__Tổng cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày đầu năm,Nguyên giá > Tại ngày đầu năm,Tại ngày đầu năm,11.211.821.819,151.152.611.324,162.364.433.143,11211821819.0,151152611324.0,162364433143.0
Tại ngày cuối năm,Nguyên giá > Tại ngày cuối năm,Tại ngày cuối năm,11.211.821.819,151.152.611.324,162.364.433.143,11211821819.0,151152611324.0,162364433143.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Tại ngày đầu năm,Giá trị hao mòn lũy kế > Tại ngày đầu năm,Tại ngày đầu năm,-,11.209.326.450,11.209.326.450,,11209326450.0,11209326450.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,-,3.643.078.596,3.643.078.596,,3643078596.0,3643078596.0
Tại ngày cuối năm,Giá trị hao mòn lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,-,14.852.405.046,14.852.405.046,,14852405046.0,14852405046.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,11.211.821.819,139.943.284.874,151.155.106.693,11211821819.0,139943284874.0,151155106693.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,11.211.821.819,136.300.206.278,147.512.028.097,11211821819.0,136300206278.0,147512028097.0
