row_label_raw,row_label_full,col_0,Cáp và vật liệuviễn thông,Xây dựng vàkinh doanh bất động sản,Dầu tư tài chínhvà các lĩnh vực khác,Điều chính và loại trừ,Tổng cộng,numeric__Cáp và vật liệuviễn thông,numeric__Xây dựng vàkinh doanh bất động sản,numeric__Dầu tư tài chínhvà các lĩnh vực khác,numeric__Điều chính và loại trừ,numeric__Tổng cộng
,,,Cáp và vật liệuviễn thông,Xây dựng vàkinh doanh bất động sản,Dầu tư tài chínhvà các lĩnh vực khác,Điều chính và loại trừ,Tổng cộng,,,,,
Năm trước,Năm trước,Năm trước,VND,VND,VND,VND,VND,,,,,
Doanh thu,Năm trước > Doanh thu,Doanh thu,1.848.693.711.596,931.811.865.391,889.555.172,(577.520.214.129),2.203.874.918.030,1848693711596.0,931811865391.0,889555172.0,-577520214129.0,2203874918030.0
- Doanh thu bên ngoài,Năm trước > - Doanh thu bên ngoài,- Doanh thu bên ngoài,1.848.693.711.596,354.455.423.891,725.782.543,-,2.203.874.918.030,1848693711596.0,354455423891.0,725782543.0,,2203874918030.0
- Doanh thu nội bộ,Năm trước > - Doanh thu nội bộ,- Doanh thu nội bộ,-,577.356.441.500,163.772.629,(577.520.214.129),-,,577356441500.0,163772629.0,-577520214129.0,
Giá vốn,Năm trước > Giá vốn,Giá vốn,(1.694.549.893.149),(898.878.088.464),-,591.994.036.973,(2.001.433.944.640),-1694549893149.0,-898878088464.0,,591994036973.0,-2001433944640.0
- Giá vốn bên ngoài,Năm trước > - Giá vốn bên ngoài,- Giá vốn bên ngoài,(1.693.499.893.149),(307.934.051.491),-,-,(2.001.433.944.640),-1693499893149.0,-307934051491.0,,,-2001433944640.0
- Giá vốn nội bộ,Năm trước > - Giá vốn nội bộ,- Giá vốn nội bộ,(1.050.000.000),(590.944.036.973),-,591.994.036.973,-,-1050000000.0,-590944036973.0,,591994036973.0,
Lợi nhuận gộp,Năm trước > Lợi nhuận gộp,Lợi nhuận gộp,154.143.818.447,32.933.776.927,889.555.172,14.473.822.844,202.440.973.390,154143818447.0,32933776927.0,889555172.0,14473822844.0,202440973390.0
Doanh thu tài chính,Năm trước > Doanh thu tài chính,Doanh thu tài chính,9.589.557.573,2.413.517.647,22.136.314.673,(20.966.744.003),13.172.645.890,9589557573.0,2413517647.0,22136314673.0,-20966744003.0,13172645890.0
- Doanh thu tài chính bên ngoài,Năm trước > - Doanh thu tài chính bên ngoài,- Doanh thu tài chính bên ngoài,9.589.557.573,2.413.517.647,1.169.570.670,-,13.172.645.890,9589557573.0,2413517647.0,1169570670.0,,13172645890.0
- Doanh thu tài chính nội bộ,Năm trước > - Doanh thu tài chính nội bộ,- Doanh thu tài chính nội bộ,-,-,20.966.744.003,(20.966.744.003),-,,,20966744003.0,-20966744003.0,
Chi phí tài chính,Năm trước > Chi phí tài chính,Chi phí tài chính,(55.871.457.639),(3.181.961.811),(1.688.157.857),9.036.689.932,(51.704.887.375),-55871457639.0,-3181961811.0,-1688157857.0,9036689932.0,-51704887375.0
- Chi phí tài chính bên ngoài,Năm trước > - Chi phí tài chính bên ngoài,- Chi phí tài chính bên ngoài,(55.871.457.639),(2.676.045.145),6.842.615.409,-,(51.704.887.375),-55871457639.0,-2676045145.0,6842615409.0,,-51704887375.0
- Chi phí tài chính nội bộ,Năm trước > - Chi phí tài chính nội bộ,- Chi phí tài chính nội bộ,-,(505.916.666),(8.530.773.266),9.036.689.932,-,,-505916666.0,-8530773266.0,9036689932.0,
Phần lãi trong công ty liên kết,Năm trước > Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,-,-,7.673.264.282,-,7.673.264.282,,,7673264282.0,,7673264282.0
Chi phí bán hàng,Năm trước > Chi phí bán hàng,Chi phí bán hàng,(33.845.116.043),(9.605.913.007),-,-,(43.451.029.050),-33845116043.0,-9605913007.0,,,-43451029050.0
- Chi phí Bán hàng bên ngoài,Năm trước > - Chi phí Bán hàng bên ngoài,- Chi phí Bán hàng bên ngoài,(33.845.116.043),(9.605.913.007),-,-,(43.451.029.050),-33845116043.0,-9605913007.0,,,-43451029050.0
Chi phí quản lý doanh nghiệp,Năm trước > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(36.458.701.969),(12.137.787.842),(36.963.402),183.061.163,(48.450.392.050),-36458701969.0,-12137787842.0,-36963402.0,183061163.0,-48450392050.0
- Chi phí Quản lý doanh nghiệp bên ngoài,Năm trước > - Chi phí Quản lý doanh nghiệp bên ngoài,- Chi phí Quản lý doanh nghiệp bên ngoài,(36.308.340.776),(12.137.077.872),(4.973.402),-,(48.450.392.050),-36308340776.0,-12137077872.0,-4973402.0,,-48450392050.0
- Chi phí Quản lý doanh nghiệp nội bộ,Năm trước > - Chi phí Quản lý doanh nghiệp nội bộ,- Chi phí Quản lý doanh nghiệp nội bộ,(150.361.193),(709.970),(31.990.000),183.061.163,-,-150361193.0,-709970.0,-31990000.0,183061163.0,
Lợi nhuận từ hoạt động kinh doanh,Năm trước > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,37.558.100.369,10.421.631.914,28.974.012.868,2.726.829.936,79.680.575.087,37558100369.0,10421631914.0,28974012868.0,2726829936.0,79680575087.0
Thu nhập khác,Năm trước > Thu nhập khác,Thu nhập khác,-,-,28.295.047.049,(27.191.764.400),1.103.282.649,,,28295047049.0,-27191764400.0,1103282649.0
-Thu nhập khác bên ngoài,Năm trước > -Thu nhập khác bên ngoài,-Thu nhập khác bên ngoài,-,-,1.103.282.649,-,1.103.282.649,,,1103282649.0,,1103282649.0
-Thu nhập khác nội bộ,Năm trước > -Thu nhập khác nội bộ,-Thu nhập khác nội bộ,-,-,27.191.764.400,(27.191.764.400),-,,,27191764400.0,-27191764400.0,
Chi phí khác,Năm trước > Chi phí khác,Chi phí khác,-,(5.931.261.585),(6.243.957.563),-,(12.175.219.148),,-5931261585.0,-6243957563.0,,-12175219148.0
- Chi phí khác bên ngoài,Năm trước > - Chi phí khác bên ngoài,- Chi phí khác bên ngoài,-,(5.931.261.585),(6.243.957.563),-,(12.175.219.148),,-5931261585.0,-6243957563.0,,-12175219148.0
Tổng lợi nhuận kế toán trước thuế,Năm trước > Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,37.558.100.369,4.490.370.329,51.025.102.354,(24.464.934.464),68.608.638.588,37558100369.0,4490370329.0,51025102354.0,-24464934464.0,68608638588.0
Chi phí thuế TNDN hiện hành,Năm trước > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(11.586.222.025),(5.463.001.471),-,-,(17.049.223.496),-11586222025.0,-5463001471.0,,,-17049223496.0
Chi phí thuế TNDN hoãn lại,Năm trước > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,-,723.541.478,-,-,723.541.478,,723541478.0,,,723541478.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Năm trước > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,25.971.878.344,(249.089.664),51.025.102.354,(24.464.934.464),52.282.956.570,25971878344.0,-249089664.0,51025102354.0,-24464934464.0,52282956570.0
Tăng/ giảm các khoản điều chỉnh,Năm trước > Tăng/ giảm các khoản điều chỉnh,Tăng/ giảm các khoản điều chỉnh,1.200.361.193,14.094.222.109,(39.759.517.766),24.464.934.464,-,1200361193.0,14094222109.0,-39759517766.0,24464934464.0,
Lợi nhuận sau thuế TNDN sau điều chỉnh,Năm trước > Lợi nhuận sau thuế TNDN sau điều chỉnh,Lợi nhuận sau thuế TNDN sau điều chỉnh,27.172.239.537,13.845.132.445,11.265.584.588,-,52.282.956.570,27172239537.0,13845132445.0,11265584588.0,,52282956570.0
