row_label_raw,row_label_full,Công ty con,Nơi thành lập và hoạt động,Tỷ lệ phần sở hữu(%),Tỷ lệ quyền biểu quyết(%),Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phần sở hữu(%),numeric__Tỷ lệ quyền biểu quyết(%),numeric__Hoạt động chính
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Tỉnh,,,,,,,
Dây và Cáp Sacom,Công ty Cổ phần > Dây và Cáp Sacom,Dây và Cáp Sacom,Đồng Nai,"99,90%","99,90%",Sản xuất dây cáp,,0.9990000000000001,0.9990000000000001,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Tỉnh,,,"Kinh doanh khu du lịch, sân gofl",,,,
Sacom - Tuyền Lâm,Công ty Cổ phần > Sacom - Tuyền Lâm,Sacom - Tuyền Lâm,Lâm Đồng,"99,76%","99,76%","Kinh doanh khu du lịch, sân gofl",,0.9976,0.9976,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Tỉnh,,,,,,,
Địa ốc Sacom,Công ty Cổ phần > Địa ốc Sacom,Địa ốc Sacom,Đồng Nai,"99,40%","99,40%",Kinh doanh bất động sản,,0.9940000000000001,0.9940000000000001,
Công ty TNHH Sacom,Công ty TNHH Sacom,Công ty TNHH Sacom,Thành phố,,,Cho thuê mặt bằng,,,,
Chíp Sáng,Công ty TNHH Sacom > Chíp Sáng,Chíp Sáng,Hồ Chí Minh,"73,75%","73,75%",làm văn phòng,,0.7375,0.7375,
