row_label_raw,row_label_full,Chi tiêu trên Cân đối kế toán,Mã số,Số đã báo cáo > VND,Phân loại lại > VND,Điều chỉnh hồi tố > VND,Số sau điều chỉnh > VND,col_6,numeric__Mã số,numeric__Số đã báo cáo > VND,numeric__Phân loại lại > VND,numeric__Điều chỉnh hồi tố > VND,numeric__Số sau điều chỉnh > VND,numeric__col_6
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,37.088.597.801,(2.000.000.000),-,35.088.597.801,(i),112.0,37088597801.0,-2000000000.0,,35088597801.0,
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,121,11.064.360.000,7.243.518.147,-,18.307.878.147,(ii),121.0,11064360000.0,7243518147.0,,18307878147.0,
Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,122,(2.232.480.000),(5.470.914.063),-,(7.703.394.063),(iii),122.0,-2232480000.0,-5470914063.0,,-7703394063.0,
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,650.000.000,2.000.000.000,-,2.650.000.000,(i),123.0,650000000.0,2000000000.0,,2650000000.0,
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,898.086.842.330,44.445.893.953,-,942.532.736.283,(iv),141.0,898086842330.0,44445893953.0,,942532736283.0,
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,2.411.847.921,950.690.554,-,3.362.538.475,(v),151.0,2411847921.0,950690554.0,,3362538475.0,
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,152,51.060.611.238,1.456.535.263,-,52.517.146.501,(vi),152.0,51060611238.0,1456535263.0,,52517146501.0,
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,153,3.023.779.064,(1.456.535.263),-,1.567.243.801,(vi),153.0,3023779064.0,-1456535263.0,,1567243801.0,
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,,,,-,,,,,,,,
- Giá trị hao mòn luỹ kế,Tài sản cố định hữu hình > - Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,223,(382.293.712.570),-,1.681.366.815,(380.612.345.755),(vii),223.0,-382293712570.0,,1681366815.0,-380612345755.0,
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,,,,,,,,,,,,
- Nguyên giá,Tài sản cố định vô hình > - Nguyên giá,- Nguyên giá,228,69.602.701.855,-,1.327.019.261,70.929.721.116,(viii),228.0,69602701855.0,,1327019261.0,70929721116.0,
- Giá trị hao mòn luỹ kế,Tài sản cố định vô hình > - Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,229,(10.678.807.202),-,58.389.550,(10.620.417.652),(viii),229.0,-10678807202.0,,58389550.0,-10620417652.0,
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế,Bất động sản đầu tư > - Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,232,(11.659.746.169),-,450.419.719,(11.209.326.450),(viii),232.0,-11659746169.0,,450419719.0,-11209326450.0,
"Chi phí sản xuất, kinh doanh dở dang dài hạn","Bất động sản đầu tư > Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn",241,-,51.860.656.702,-,51.860.656.702,(iv),241.0,,51860656702.0,,51860656702.0,
Chi phí xây dựng cơ bản dở dang,Bất động sản đầu tư > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,486.596.137.573,(96.306.550.655),-,390.289.586.918,(iv),242.0,486596137573.0,-96306550655.0,,390289586918.0,
Đầu tư góp vốn vào đơn vị khác,Bất động sản đầu tư > Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,253,33.778.994.217,(7.243.518.147),-,26.535.476.070,(ii),253.0,33778994217.0,-7243518147.0,,26535476070.0,
Dự phòng đầu tư tài chính dài hạn,Bất động sản đầu tư > Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,254,(15.101.549.563),5.470.914.063,-,(9.630.635.500),(iii),254.0,-15101549563.0,5470914063.0,,-9630635500.0,
Chi phí trả trước dài hạn,Bất động sản đầu tư > Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,11.108.501.093,(950.690.554),(849.012.666),9.308.797.873,(v),261.0,11108501093.0,-950690554.0,-849012666.0,9308797873.0,
Tài sản thuế thu nhập hoãn lại,Bất động sản đầu tư > Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,455.075.420,-,268.466.058,723.541.478,(ix),262.0,455075420.0,,268466058.0,723541478.0,
Người mua trả tiền trước ngắn hạn,Bất động sản đầu tư > Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,7.035.174.686,(3.775.972.780),-,3.259.201.906,(x),312.0,7035174686.0,-3775972780.0,,3259201906.0,
Chi phí phải trả ngắn hạn,Bất động sản đầu tư > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,614.784.321,3.224.266.373,112.387.500,3.951.438.194,(xi),315.0,614784321.0,3224266373.0,112387500.0,3951438194.0,
Doanh thu chưa thực hiện ngắn hạn,Bất động sản đầu tư > Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,318,680.505.878,-,175.510.000,856.015.878,(xii),318.0,680505878.0,,175510000.0,856015878.0,
Phải trả ngắn hạn khác,Bất động sản đầu tư > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,29.446.497.337,(3.224.266.373),-,26.222.230.964,(xi),319.0,29446497337.0,-3224266373.0,,26222230964.0,
Người mua trả tiền trước dài hạn,Bất động sản đầu tư > Người mua trả tiền trước dài hạn,Người mua trả tiền trước dài hạn,332,-,3.775.972.780,-,3.775.972.780,(x),332.0,,3775972780.0,,3775972780.0,
Chi phí phải trả dài hạn,Bất động sản đầu tư > Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,333,892.578.305,-,(892.578.305),-,(xiii),333.0,892578305.0,,-892578305.0,,
Doanh thu chưa thực hiện dài hạn,Bất động sản đầu tư > Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,336,-,-,3.456.600.682,3.456.600.682,(xii),336.0,,,3456600682.0,3456600682.0,
Loại nhuận sau thuế chưa phân phối,Loại nhuận sau thuế chưa phân phối,Loại nhuận sau thuế chưa phân phối,,,,,,,,,,,,
- LNST chưa PP lũy kế đến cuối kỳ trước,Loại nhuận sau thuế chưa phân phối > - LNST chưa PP lũy kế đến cuối kỳ trước,- LNST chưa PP lũy kế đến cuối kỳ trước,421a,640.921.883,-,2.634.790.401,3.275.712.284,(xiv),,640921883.0,,2634790401.0,3275712284.0,
